Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,37981,524288,64,16,4,1,32,1,0,0,1,7,95648799,110693054,2,139461664,138412041,1,155189248,98.1132,0,0,0,0,272629760,136314880,0.791338,97.2842,0,4479516672,0,3581935616,1074790400,2235564032,89128960,1572864,359333888,0,1,2.09153,0,0,1,1,1,2,6.24246,100,99.6854,1024,0,128,0,15
directCoulombSum,37890,524288,64,16,4,1,32,1,1,0,1,7,90805813,108201632,2,142606560,138412041,1,155189248,97.0149,0,0,0,0,272629760,136314880,0.817812,103.761,0,4479516672,0,3816816640,1074790400,2336227328,156237824,1572864,371916800,0,1,2.13716,0,0,1,1,1,2,6.16348,100,99.696,1024,0,128,0,19
directCoulombSum,43758,524288,64,16,4,1,32,2,0,0,1,8,134803790,136473954,2,139462224,138412041,1,155189248,98.1132,0,0,0,0,272629760,136314880,0.964997,99.1977,0,4479516672,0,1971322880,537919488,1161822208,89128960,1572864,258670592,0,1,1.79623,0,0,1,1,1,2,4.23235,100,99.563,1024,0,128,0,20
directCoulombSum,43847,524288,64,16,4,1,32,2,1,0,1,8,134356309,136180090,2,142607408,138412089,1,155189248,97.0149,0,0,0,0,272629760,136314880,0.963137,99.2932,0,4479516672,0,2206203904,537919488,1262485504,156237824,1572864,271253504,0,1,1.80265,0,0,1,1,1,2,4.40535,100,99.5832,1024,0,128,0,21
directCoulombSum,44056,524288,64,16,4,1,32,4,0,0,1,8,136099946,137440624,2,139462416,138412041,1,155189248,98.1132,0,0,0,0,272629760,136314880,0.988667,99.3395,0,4479516672,0,1166016512,269484032,624951296,89128960,1572864,208338944,0,1,1.78639,0,0,1,1,1,2,3.69365,100,99.4574,1024,0,128,0,22
directCoulombSum,44094,524288,64,16,4,1,32,4,1,0,1,8,136001814,137530926,2,142606688,138412169,1,155189248,97.0149,0,0,0,0,272629760,136314880,0.988182,99.484,0,4479516672,0,1400897536,269484032,725614592,156237824,1572864,220921856,0,1,1.78791,0,0,1,1,1,2,3.8611,100,99.4883,1024,0,128,0,23
directCoulombSum,43850,524288,64,16,4,1,32,8,0,0,1,8,134484594,137074737,2,139462368,138412169,1,155189248,98.1132,0,0,0,0,272629760,136314880,0.979611,99.6133,0,4479516672,0,763363328,135266304,624951296,89128960,1572864,191561728,0,1,1.79485,0,0,1,1,1,2,3.19064,100,99.4099,1024,0,128,0,31
directCoulombSum,43804,524288,64,16,4,1,32,8,1,0,1,8,134379165,137029950,2,142607936,138412169,1,155189248,97.0149,0,0,0,0,272629760,136314880,0.976148,99.5883,0,4479516672,0,998244352,135266304,725614592,156237824,1572864,204144640,0,1,1.79603,0,0,1,1,1,2,3.53329,100,99.4462,1024,0,128,0,32
directCoulombSum,43361,524288,64,16,4,1,32,16,0,0,1,8,131976925,135674003,2,139461344,138412169,1,155189248,98.1132,0,0,0,0,272629760,136314880,0.977892,99.6244,0,4479516672,0,562036736,68157440,624951296,256901120,1572864,188416000,0,1,1.81754,0,0,1,1,1,2,3.41434,100,99.4,1024,0,128,0,32
directCoulombSum,43392,524288,64,16,4,1,32,16,1,0,1,8,132322668,135827017,2,142608016,138412041,1,155189248,97.0149,0,0,0,0,272629760,136314880,0.977312,99.6921,0,4479516672,0,796917760,68157440,725614592,324009984,1572864,200998912,0,1,1.81642,0,0,1,1,1,2,3.49585,100,99.4376,1024,0,128,0,32
directCoulombSum,10772,16777216,128,16,8,1,1,0,0,0,1,1,2097214,2068507,1,35651760,2097161,9,538968064,0,0,0,0,0,0,0,0.963749,99.8858,0,8606711808,0,889192448,117440512,1107296256,1040187392,50331648,372244480,0,3,18.0354,0,0,2,1,1,3,26.012,100,99.1549,1024,0,0,0,32
directCoulombSum,42245,16777216,128,16,8,1,1,0,1,0,1,1,2097910,2068507,1,136315976,2097161,3,538968064,0,0,0,0,0,0,0,0.920858,100.002,0,8606711808,0,3724541952,285212672,4328521728,1610612736,50331648,584056832,0,1,4.57902,0,0,1,1,1,3,9.19176,100,99.5512,1024,0,0,0,32
directCoulombSum,5531,8388608,128,16,8,1,2,0,0,0,1,1,2097190,2068503,1,18874416,2097161,9,270532608,0,0,0,0,0,0,0,0.956894,100.017,0,6459228160,0,872415232,142606336,570425344,285212672,25165824,262406144,0,4,24.441,0,0,3,1,1,3,34.6868,100,99.5005,1024,0,0,0,29
directCoulombSum,21310,8388608,128,16,8,1,2,0,1,0,1,1,2097214,2068507,1,69206088,2097161,3,270532608,0,0,0,0,0,0,0,0.931874,100.048,0,6459228160,0,1962934272,142606336,2181038080,1073741824,25165824,371458048,0,1,6.29729,0,0,1,1,1,3,11.0293,100,99.6471,1024,0,0,0,32
directCoulombSum,11161,8388608,128,16,8,1,2,1,0,0,1,1,2097190,2076693,5,155189448,138412041,7,406847488,92.8571,0,0,0,0,272629760,136314880,0.980505,99.9857,0,6996099072,0,6224347136,1090519040,2743074816,1182793728,25165824,588775424,0,4,12.8581,0,0,2,1,1,6,39.0879,100,96.9279,1024,0,8,0,16
directCoulombSum,24492,8388608,128,16,8,1,2,1,1,0,1,1,2097286,2076633,3,205521040,138412041,3,406847488,79.2683,0,0,0,0,272629760,136314880,0.991565,99.9336,0,6996099072,0,9982443520,1090519040,4353687552,2256535552,25165824,790102016,0,2,5.81107,0,0,1,1,1,4,22.5633,100,97.7107,1024,0,8,0,19
directCoulombSum,2993,4194304,128,16,8,1,4,0,0,0,1,2,2097214,2068471,1,10485840,2097161,9,136314880,0,0,0,0,0,0,0,0.974011,100.177,0,5385486336,0,541065216,71303168,301989888,163577856,12582912,203030528,0,5,35.3639,0,0,5,1,1,3,49.3372,100,99.6772,1024,0,0,0,32
directCoulombSum,10950,4194304,128,16,8,1,4,0,1,0,1,1,2097494,2068507,1,35652608,2097161,3,136314880,0,0,0,0,0,0,0,0.977859,99.9539,0,5385486336,0,1073741824,71303168,1107296256,696254464,12582912,261488640,0,2,9.56283,0,0,2,1,1,3,15.3957,100,99.7494,1024,0,0,0,32
directCoulombSum,9303,4194304,128,16,8,1,4,1,0,0,1,1,2097190,4358649,6,146800688,138412169,6,272629760,95.5882,0,0,0,0,272629760,136314880,0.988577,100.268,0,5653921792,0,4815060992,1082130432,2470445056,595591168,12582912,466223104,0,4,11.8197,0,0,2,1,1,7,35.2136,100,98.0602,1024,0,16,0,15
directCoulombSum,14144,4194304,128,16,8,1,4,1,1,0,1,1,2097942,4949486,4,171967264,138412041,4,272629760,87.8378,0,0,0,0,272629760,136314880,0.987321,99.9062,0,5653921792,0,6694109184,1082130432,3275751424,1132462080,12582912,566886400,0,3,7.72229,0,0,1,1,1,6,27.345,100,98.4046,1024,0,16,0,19
directCoulombSum,8400,4194304,128,16,8,1,4,2,0,0,1,1,2097926,4152154,6,146801432,138412041,6,272629760,95.5882,0,0,0,0,272629760,136314880,0.989195,99.9854,0,5653921792,0,3204448256,545259520,1396703232,595591168,12582912,365559808,0,3,13.0801,0,0,2,1,1,7,33.6769,100,97.526,1024,0,16,0,20
directCoulombSum,14088,4194304,128,16,8,1,4,2,1,0,1,1,2097462,4292637,4,171966944,138412041,4,272629760,87.8378,0,0,0,0,272629760,136314880,0.992358,99.876,0,5653921792,0,5083496448,545259520,2202009600,1132462080,12582912,466223104,0,3,7.74592,0,0,1,1,1,6,24.2347,100,98.0602,1024,0,16,0,21
directCoulombSum,2022,2097152,128,16,8,1,8,0,0,0,1,3,2097190,2068423,1,6291688,2097161,7,69206016,0,0,0,0,0,0,0,0.978964,99.9566,0,4848615424,0,362807296,35651584,167772160,174063616,6291456,175177728,0,6,44.6481,0,0,6,1,1,2,61.5796,100,99.8129,1024,0,0,0,32
directCoulombSum,5704,2097152,128,16,8,1,8,0,1,0,1,1,2097190,2068499,1,18874536,2097161,3,69206016,0,0,0,0,0,0,0,0.985691,100.046,0,4848615424,0,629145600,35651584,570425344,306184192,6291456,200212480,0,3,15.7529,0,0,3,1,1,3,23.6502,100,99.8363,1024,0,0,0,32
directCoulombSum,10068,2097152,128,16,8,1,8,1,0,0,1,6,2236850,40995404,5,142606864,138412041,4,205520896,97.0149,0,0,0,0,272629760,136314880,0.970459,99.8109,0,4982833152,0,4110417920,1077936128,2336227328,306184192,6291456,405143552,0,3,9.16125,0,0,2,1,1,6,26.9997,100,98.8839,1024,0,32,0,15
