Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,41299,524288,64,16,4,1,32,1,0,0,1,5,2653550,45777578,4,139980556,138412034,4,155189248,98.1132,0,0,0,0,272629760,136314880,0.995307,99.9558,4479516672,0,3581935616,1073741824,2235564032,89128960,1572864,359284736,3,11.2844,0,0,2,1,1,8,32.7735,100,99.6899,1024,0,128,0,15
directCoulombSum,42083,524288,64,16,4,1,32,1,1,0,1,5,2813498,45405629,4,143385134,138412034,4,155189248,97.0149,0,0,0,0,272629760,136314880,0.996951,99.8418,4479516672,0,3816816640,1073741824,2336227328,122683392,1572864,370819072,3,11.0639,0,0,2,1,1,8,33.1543,100,99.6996,1024,0,128,0,19
directCoulombSum,41898,524288,64,16,4,1,32,2,0,0,1,5,2909036,44981308,4,140239526,138412034,4,155189248,98.1132,0,0,0,0,272629760,136314880,0.99453,99.925,4479516672,0,1971322880,536870912,1161822208,89128960,1572864,258621440,3,11.0765,0,0,2,1,1,8,25.9013,100,99.5692,1024,0,128,0,20
directCoulombSum,42797,524288,64,16,4,1,32,2,1,0,1,5,2912574,44594393,4,143385126,138412034,4,155189248,97.0149,0,0,0,0,272629760,136314880,0.99498,99.9223,4479516672,0,2206203904,536870912,1262485504,122683392,1572864,270155776,3,10.8651,0,0,2,1,1,8,26.378,100,99.5876,1024,0,128,0,21
directCoulombSum,42707,524288,64,16,4,1,32,4,0,0,1,4,2901712,37106599,4,140239494,138412034,4,155189248,98.1132,0,0,0,0,272629760,136314880,0.990528,99.9752,4479516672,0,1166016512,268435456,624951296,89128960,1572864,208289792,2,10.8823,0,0,2,1,1,7,20.297,100,99.4651,1024,0,128,0,22
directCoulombSum,43920,524288,64,16,4,1,32,4,1,0,1,4,2908870,38382082,4,143385334,138412034,4,155189248,97.0149,0,0,0,0,272629760,136314880,0.993311,99.9644,4479516672,0,1400897536,268435456,725614592,122683392,1572864,219824128,2,10.5741,0,0,2,1,1,7,20.7229,100,99.4932,1024,0,128,0,24
directCoulombSum,42766,524288,64,16,4,1,32,8,0,0,1,4,2910040,32096271,4,140239390,138412034,4,155189248,98.1132,0,0,0,0,272629760,136314880,0.9886,99.9562,4479516672,0,763363328,134217728,624951296,89128960,1572864,191512576,2,10.8657,0,0,2,1,1,7,20.2699,100,99.4183,1024,0,128,0,31
directCoulombSum,44051,524288,64,16,4,1,32,8,1,0,1,4,2783464,34103813,4,143255516,138412034,4,155189248,97.0149,0,0,0,0,272629760,136314880,0.987913,99.9769,4479516672,0,998244352,134217728,725614592,122683392,1572864,203046912,2,10.5593,0,0,2,1,1,7,20.6914,100,99.4513,1024,0,128,0,32
directCoulombSum,42775,524288,64,16,4,1,32,16,0,0,1,3,2887056,21996726,4,140239374,138412034,4,155189248,98.1132,0,0,0,0,272629760,136314880,0.981063,99.6396,4479516672,0,562036736,67108864,624951296,256901120,1572864,188366848,2,10.8586,0,0,2,1,1,7,19.875,100,99.4085,1024,0,128,0,32
directCoulombSum,43927,524288,64,16,4,1,32,16,1,0,1,2,2878314,18619045,4,143385110,138412034,4,155189248,97.0149,0,0,0,0,272629760,136314880,0.96647,99.8529,4479516672,0,796917760,67108864,725614592,290455552,1572864,199901184,2,10.5975,0,0,2,1,1,8,20.1071,100,99.4427,1024,0,128,0,32
directCoulombSum,56572,16777216,128,16,8,1,1,0,0,0,1,1,3135470,2101154,1,36689928,2097154,10,538968064,0,0,0,0,0,0,0,0.976301,99.9936,8606711808,0,889192448,117440512,1107296256,1056964608,50331648,372768768,3,20.1934,0,0,2,1,1,3,29.1891,100,99.1561,1024,0,0,0,32
directCoulombSum,77419,16777216,128,16,8,1,1,0,1,0,1,1,3394962,2101158,1,137612458,2097154,8,538968064,0,0,0,0,0,0,0,0.683799,99.9972,8606711808,0,3724541952,285212672,4328521728,1291845632,50331648,574095360,3,14.7624,0,0,1,1,1,8,28.9585,100,99.5434,1024,0,0,0,32
directCoulombSum,28486,8388608,128,16,8,1,2,0,0,0,1,1,2616562,2101214,1,19393732,2097154,10,270532608,0,0,0,0,0,0,0,0.959901,99.9949,6459228160,0,872415232,159383552,570425344,260046848,25165824,262406144,4,27.7927,0,0,3,1,1,3,39.3551,100,99.4006,1024,0,0,0,31
directCoulombSum,39338,8388608,128,16,8,1,2,0,1,0,1,1,2616428,2099210,1,69854956,2097154,8,270532608,0,0,0,0,0,0,0,0.893016,99.9899,6459228160,0,1962934272,159383552,2181038080,1065353216,25165824,371982336,4,20.1192,0,0,2,1,1,8,35.3605,100,99.5772,1024,0,0,0,32
directCoulombSum,56391,8388608,128,16,8,1,2,1,0,0,1,1,3005976,2101226,3,155968710,138412034,8,406847488,92.8571,0,0,0,0,272629760,136314880,0.978812,99.995,6996099072,0,6224347136,1073741824,2743074816,1174405120,25165824,587726848,4,14.8141,0,0,2,1,1,7,45.0769,100,96.967,1024,0,8,0,16
directCoulombSum,66065,8388608,128,16,8,1,2,1,1,0,1,1,3135760,2101326,3,206689280,138412034,7,406847488,79.2683,0,0,0,0,272629760,136314880,0.957747,99.9936,6996099072,0,9982443520,1073741824,4353687552,1711276032,25165824,772276224,5,12.6465,0,0,2,1,1,9,49.0731,100,97.6918,1024,0,8,0,19
directCoulombSum,14452,4194304,128,16,8,1,4,0,0,0,1,2,2356912,2099174,1,10745506,2097154,10,136314880,0,0,0,0,0,0,0,0.949667,99.9819,5385486336,0,541065216,79691776,301989888,159383552,12582912,203292672,6,42.6705,0,0,5,1,1,3,59.6927,100,99.6132,1024,0,0,0,32
directCoulombSum,19956,4194304,128,16,8,1,4,0,1,0,1,1,2486644,2101206,2,36170788,2097154,8,136314880,0,0,0,0,0,0,0,0.890266,99.9896,5385486336,0,1073741824,79691776,1107296256,423624704,12582912,253362176,5,30.9077,0,0,4,1,1,8,50.8758,100,99.6896,1024,0,0,0,32
directCoulombSum,46010,4194304,128,16,8,1,4,1,0,0,1,1,2876072,2105310,4,147579878,138412034,7,272629760,95.5882,0,0,0,0,272629760,136314880,0.989082,99.9897,5653921792,0,4815060992,1073741824,2470445056,595591168,12582912,465829888,4,13.871,0,0,2,1,1,8,41.4533,100,98.0867,1024,0,16,0,16
directCoulombSum,51092,4194304,128,16,8,1,4,1,1,0,1,1,2876286,2103302,4,172875462,138412034,6,272629760,87.8378,0,0,0,0,272629760,136314880,0.988559,99.9933,5653921792,0,6694109184,1073741824,3275751424,864026624,12582912,558104576,4,12.4915,0,0,2,1,1,9,44.1801,100,98.403,1024,0,16,0,19
directCoulombSum,43880,4194304,128,16,8,1,4,2,0,0,1,1,2876104,2105254,4,147579838,138412034,7,272629760,95.5882,0,0,0,0,272629760,136314880,0.99081,99.9911,5653921792,0,3204448256,536870912,1396703232,595591168,12582912,365166592,4,14.5414,0,0,2,1,1,8,37.4514,100,97.5592,1024,0,16,0,20
directCoulombSum,52805,4194304,128,16,8,1,4,2,1,0,1,1,2876094,2103302,4,172875310,138412034,6,272629760,87.8378,0,0,0,0,272629760,136314880,0.983508,99.9822,5653921792,0,5083496448,536870912,2202009600,864026624,12582912,457441280,4,12.0806,0,0,2,1,1,9,37.7683,100,98.0516,1024,0,16,0,21
directCoulombSum,8862,2097152,128,16,8,1,8,0,0,0,1,3,2356912,2101214,1,6551322,2097154,9,69206016,0,0,0,0,0,0,0,0.927451,99.9788,4848615424,0,362807296,39845888,167772160,171966464,6291456,175308800,8,59.7525,0,0,8,1,1,3,81.1879,100,99.7757,1024,0,0,0,32
directCoulombSum,10908,2097152,128,16,8,1,8,0,1,0,1,2,2097456,2097178,2,18874656,2097154,7,69206016,0,0,0,0,0,0,0,0.973807,99.983,4848615424,0,629145600,39845888,570425344,304087040,6291456,200343552,7,48.5165,0,0,7,1,1,7,73.9218,100,99.8037,1024,0,0,0,32
