Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,local_load_transactions,local_store_transactions,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,41146,1048576,64,16,4,1,16,8,0,0,1,7,23852079,137696177,2,142183958,138228081,0,0,97.0084,0,0,0,0.468135,99.9786,4664066048,0,780140544,134217728,658505728,244318208,3145728,204406784,4.31819,0,1,3,0,21.1696,57012397,85031267,1024,0,64,0,30
directCoulombSum,41891,1048576,64,16,4,1,16,8,1,0,1,7,26231307,137753341,2,146450770,138256657,0,0,95.5807,0,0,0,0.468492,99.9665,4664066048,0,1182793728,134217728,859832320,244318208,3145728,223281152,4.21015,0,1,3,0,21.9448,55755920,81118117,1024,0,64,0,30
directCoulombSum,4736,524288,64,16,4,1,32,0,0,0,1,2,2252037,2097340,1,4194954,2097209,0,0,0.000190734,0,0,0,0.494632,99.9249,4462739456,0,254803968,33554432,67108864,122159104,1572864,154009600,35.2004,0,1,1,0,68.5526,0,0,1024,0,0,0,47
directCoulombSum,4741,524288,64,16,4,1,32,0,1,0,1,2,2097665,2097500,1,6292078,2097153,0,0,0,0,0,0,0.494367,99.9206,4462739456,0,456130560,33554432,167772160,88604672,1572864,162398208,35.5686,0,1,2,0,64.0838,0,0,1024,0,0,0,48
directCoulombSum,76200,524288,64,16,4,1,32,1,0,0,1,7,137945735,138324347,2,140448406,138352753,0,0,97.7434,0,0,0,0.489584,99.9226,4496293888,0,3460300800,1073741824,2235564032,138936320,1572864,357072896,2.19502,0,1,2,0,13.4006,34570186,36300227,1024,0,128,0,18
directCoulombSum,76149,524288,64,16,4,1,32,1,1,0,1,7,137833026,138323736,2,142550002,138359957,0,0,97.0139,0,0,0,0.48974,99.9419,4496293888,0,3661627392,1073741824,2336227328,138936320,1572864,366510080,2.19366,0,1,2,0,11.1097,34567645,36267530,1024,0,128,0,21
directCoulombSum,70509,524288,64,16,4,1,32,2,0,0,1,7,137695345,138371927,2,140472014,138376633,0,0,97.7438,0,0,0,0.47985,99.9608,4496293888,0,1849688064,536870912,1161822208,138936320,1572864,256409600,2.3644,0,1,2,0,12.469,39469880,45584483,1024,0,128,0,18
directCoulombSum,70557,524288,64,16,4,1,32,2,1,0,1,7,137554476,138362595,2,142570262,138378113,0,0,97.0142,0,0,0,0.478365,99.928,4496293888,0,2051014656,536870912,1262485504,138936320,1572864,265846784,2.37058,0,1,2,0,11.9117,40259752,46043586,1024,0,128,0,19
directCoulombSum,70478,524288,64,16,4,1,32,4,0,0,1,7,137202508,138368668,2,140473934,138384329,0,0,97.7438,0,0,0,0.478215,99.9648,4496293888,0,1044381696,268435456,624951296,138936320,1572864,206077952,2.37233,0,1,2,0,12.5937,56702971,73049781,1024,0,128,0,23
directCoulombSum,70353,524288,64,16,4,1,32,4,1,0,1,7,137178917,138380526,2,142578534,138387117,0,0,97.0143,0,0,0,0.477822,99.9763,4496293888,0,1245708288,268435456,725614592,138936320,1572864,215515136,2.38082,0,1,2,0,12.7449,55607609,71079231,1024,0,128,0,23
directCoulombSum,69996,524288,64,16,4,1,32,8,0,0,1,7,134370160,138370758,2,140473294,138381949,0,0,97.7438,0,0,0,0.478273,99.9697,4496293888,0,641728512,134217728,624951296,138936320,1572864,189300736,2.38034,0,1,2,0,12.4434,70535304,93295578,1024,0,128,0,30
directCoulombSum,70184,524288,64,16,4,1,32,8,1,0,1,7,134798905,138375677,2,142575430,138383417,0,0,97.0143,0,0,0,0.477525,99.9576,4496293888,0,843055104,134217728,725614592,138936320,1572864,198737920,2.39154,0,1,3,0,13.3364,70450696,92150659,1024,0,128,0,30
directCoulombSum,71126,524288,64,16,4,1,32,16,0,0,1,7,136543531,138387872,2,140483434,138391133,0,0,97.7439,0,0,0,0.489368,99.9468,4496293888,0,440401920,67108864,624951296,105381888,1572864,179863552,2.36479,0,1,4,0,14.8623,103424809,139482438,1024,0,128,0,32
directCoulombSum,71074,524288,64,16,4,1,32,16,1,0,1,7,136539317,138382149,2,142577438,138395153,0,0,97.0143,0,0,0,0.488807,99.9762,4496293888,0,641728512,67108864,725614592,105381888,1572864,189300736,2.36239,0,1,4,0,14.6689,102447021,137559691,1024,0,128,0,32
directCoulombSum,19285,16777216,128,16,8,1,1,0,0,0,1,1,2398763,2097152,2,69206454,2097153,0,0,0,0,0,0,0.895508,99.9904,8623489024,0,654311424,117440512,1107296256,268435456,50331648,340787200,21.2745,0,1,4,0,48.8079,0,0,1024,0,0,0,32
directCoulombSum,39630,16777216,128,16,8,1,1,0,1,0,1,1,2690393,2097152,1,136315286,2097153,0,0,0,0,0,0,0.908852,99.9906,8623489024,0,3506438144,285212672,4328521728,234881024,50331648,534249472,10.4667,0,1,6,0,30.2148,0,0,1024,0,0,0,32
directCoulombSum,10875,8388608,128,16,8,1,2,0,0,0,1,1,2221087,2097152,1,35652006,2097153,0,0,0,0,0,0,0.922515,99.9838,6476005376,0,729808896,142606336,570425344,276824064,25165824,258211840,26.4637,0,1,5,0,67.8854,0,0,1024,0,0,0,31
directCoulombSum,19023,8388608,128,16,8,1,2,0,1,0,1,1,2393951,2097152,2,69206422,2097153,0,0,0,0,0,0,0.914106,99.9815,6476005376,0,1811939328,142606336,2181038080,150994944,25165824,338427904,15.1186,0,1,6,0,38.5434,0,0,1024,0,0,0,32
directCoulombSum,24290,8388608,128,16,8,1,2,1,0,0,1,6,2529281,77144003,3,117979538,87804249,0,0,81.6529,0,0,0,0.956773,99.9857,7012876288,0,5536481280,1073741824,2743074816,1719664640,25165824,583794688,12.4894,0,1,5,0,56.8647,34346789,36414582,1024,0,8,0,17
directCoulombSum,34266,8388608,128,16,8,1,2,1,1,0,1,7,2690620,126144182,3,197161378,132153501,0,0,78.3544,0,0,0,0.977825,99.9877,7012876288,0,8757706752,1073741824,4353687552,1719664640,25165824,734789632,8.74892,0,1,6,0,49.6626,39295483,45942123,1024,0,8,0,19
directCoulombSum,5221,4194304,128,16,8,1,4,0,0,0,1,2,2097501,2097152,2,18874790,2097153,0,0,0,0,0,0,0.943604,99.9508,5402263552,0,419430400,71303168,301989888,109051904,12582912,197787648,42.4836,0,1,4,0,78.8735,0,0,1024,0,0,0,32
directCoulombSum,9731,4194304,128,16,8,1,4,0,1,0,1,1,2254724,2097152,2,35652006,2097153,0,0,0,0,0,0,0.935193,99.9765,5402263552,0,956301312,71303168,1107296256,109051904,12582912,239730688,23.0296,0,1,6,0,54.7556,0,0,1024,0,0,0,32
directCoulombSum,29408,4194304,128,16,8,1,4,1,0,0,1,7,2695879,113276837,3,142495178,126696773,0,0,92.2426,0,0,0,0.854829,99.962,5670699008,0,4429185024,1073741824,2470445056,876609536,12582912,462815232,7.83445,0,1,5,0,44.1212,35147199,38313304,1024,0,16,0,17
directCoulombSum,32710,4194304,128,16,8,1,4,1,1,0,1,7,2709976,125949769,3,168122106,135208385,0,0,87.5624,0,0,0,0.906128,99.9731,5670699008,0,6039797760,1073741824,3275751424,876609536,12582912,538312704,7.06284,0,1,5,0,37.6925,37113475,40288440,1024,0,16,0,21
directCoulombSum,28051,4194304,128,16,8,1,4,2,0,0,1,7,2401423,113021064,3,141619738,129001817,0,0,92.2764,0,0,0,0.831619,99.9545,5670699008,0,2818572288,536870912,1396703232,876609536,12582912,362151936,8.24026,0,1,4,0,41.761,39884990,53997867,1024,0,16,0,18
directCoulombSum,32459,4194304,128,16,8,1,4,2,1,0,1,7,2703867,132390347,3,171127266,138206301,0,0,87.7968,0,0,0,0.926029,99.9782,5670699008,0,4429185024,536870912,2202009600,876609536,12582912,437649408,7.17154,0,1,6,0,42.2019,49519783,73720822,1024,0,16,0,19
directCoulombSum,4631,2097152,128,16,8,1,8,0,0,0,1,2,2106425,2097152,1,10486214,2097153,0,0,0,0,0,0,0.952024,99.9602,4865392640,0,260046848,35651584,167772160,88080384,6291456,169410560,41.1169,0,1,2,0,73.9115,0,0,1024,0,0,0,31
