"X1","X2"
"TBX","A=(TBX-24)/16"
"TBY","B=(TBY-24)/16"
"LOCAL","C=(LOCAL-1)/1"
"WPTX","D=(WPTX-3)/2"
"WPTY","E=(WPTY-3)/2"
"VECTOR","F=(VECTOR-2)/1"
"UNROLL_FACTOR","G=(UNROLL_FACTOR-4)/3"
"PADDING","H=(PADDING-0.5)/0.5"
"TBX_XL","J=(TBX_XL-27)/19"
"TBY_XL","K=(TBY_XL-27)/19"
"Condition","G==1 and H==-1"
"sm_efficiency","99.39 -0.61*A  -0.53*B  -0.07*C  -0.94*D  -0.17*E  +0.15*F  +0.03*(D**2)  -0.05*(E**2)  +0.07*(F**2)  -0.13*A*C  -0.02*B*C  -0.51*A*D  -0.42*B*D  -0.25*C*D  -0.26*A*E  -0.17*B*E  +0.18*C*E  -0.55*D*E  -0.10*A*F  -0.10*B*F  -0.03*C*F  -0.24*D*F  +0.13*E*F  +0.01*A*C*D  +0.17*B*C*D  +0.08*A*C*E  +0.21*B*C*E  -0.15*A*D*E  -0.06*B*D*E  +0.12*C*D*E  -0.20*A*C*F  -0.21*B*C*F  -0.15*C*D*F  -0.13*A*E*F  -0.12*B*E*F  -0.15*C*E*F  -0.22*D*E*F  +0.37*A*C*D*E  +0.54*B*C*D*E  -0.35*A*C*E*F  -0.36*B*C*E*F  -0.19*C*D*E*F "
"inst_fp_16","0 +0.00*A  +0.00*B  +0.00*C  +0.00*D  +0.00*E  -0.00*F  +0.00*(D**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*A*C  -0.00*B*C  +0.00*A*D  +0.00*B*D  +0.00*C*D  +0.00*A*E  +0.00*B*E  +0.00*C*E  +0.00*D*E  -0.00*A*F  -0.00*B*F  +0.00*C*F  +0.00*D*F  +0.00*E*F  +0.00*A*C*D  -0.00*B*C*D  +0.00*A*C*E  +0.00*B*C*E  -0.00*A*D*E  -0.00*B*D*E  -0.00*C*D*E  -0.00*A*C*F  +0.00*B*C*F  +0.00*C*D*F  -0.00*A*E*F  -0.00*B*E*F  +0.00*C*E*F  +0.00*D*E*F  +0.00*A*C*D*E  +0.00*B*C*D*E  -0.00*A*C*E*F  -0.00*B*C*E*F  +0.00*C*D*E*F "
"inst_fp_32","822083584 +0.00*A  +0.00*B  +0.00*C  +0.00*D  +0.00*E  +0.00*F  +0.00*(D**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*A*C  -0.00*B*C  +0.00*A*D  +0.00*B*D  +0.00*C*D  +0.00*A*E  +0.00*B*E  +0.00*C*E  +0.00*D*E  -0.00*A*F  -0.00*B*F  +0.00*C*F  -0.00*D*F  -0.00*E*F  -0.00*A*C*D  -0.00*B*C*D  -0.00*A*C*E  -0.00*B*C*E  +0.00*A*D*E  +0.00*B*D*E  +0.00*C*D*E  -0.00*A*C*F  -0.00*B*C*F  -0.00*C*D*F  +0.00*A*E*F  +0.00*B*E*F  -0.00*C*E*F  -0.00*D*E*F  -0.00*A*C*D*E  -0.00*B*C*D*E  +0.00*A*C*E*F  +0.00*B*C*E*F  +0.00*C*D*E*F "
"inst_fp_64","0 +0.00*A  +0.00*B  +0.00*C  +0.00*D  +0.00*E  -0.00*F  +0.00*(D**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*A*C  -0.00*B*C  +0.00*A*D  +0.00*B*D  +0.00*C*D  +0.00*A*E  +0.00*B*E  +0.00*C*E  +0.00*D*E  -0.00*A*F  -0.00*B*F  +0.00*C*F  +0.00*D*F  +0.00*E*F  +0.00*A*C*D  -0.00*B*C*D  +0.00*A*C*E  +0.00*B*C*E  -0.00*A*D*E  -0.00*B*D*E  -0.00*C*D*E  -0.00*A*C*F  +0.00*B*C*F  +0.00*C*D*F  -0.00*A*E*F  -0.00*B*E*F  +0.00*C*E*F  +0.00*D*E*F  +0.00*A*C*D*E  +0.00*B*C*D*E  -0.00*A*C*E*F  -0.00*B*C*E*F  +0.00*C*D*E*F "
"inst_integer","190783350.91 +48399585.82*A  +48003321.63*B  +147601201.01*C  -276450602.43*D  -27033149.81*E  +25311387.27*F  +149294117.09*(D**2)  +50583059.74*(E**2)  -2713190.40*(F**2)  +90821101.39*A*C  +90424837.21*B*C  +51963855.16*A*D  +51171326.78*B*D  +180972137.96*C*D  +64860361.58*A*E  +64345218.14*B*E  +142457823.57*C*E  +145637368.00*D*E  -1628178.80*A*F  -1628178.80*B*F  +10850033.65*C*F  -17572423.88*D*F  -7474376.42*E*F  +104539606.81*A*C*D  +103747078.44*B*C*D  +74251948.19*A*C*E  +73736804.75*B*C*E  +71434811.74*A*D*E  +70404524.86*B*D*E  +99506428.67*C*D*E  -5332586.00*A*C*F  -5332586.00*B*C*F  -16407492.69*C*D*F  -3161732.46*A*E*F  -3161732.46*B*E*F  -15785179.48*C*E*F  -10818466.67*D*E*F  +48270521.62*A*C*D*E  +47240234.73*B*C*D*E  +16660590.92*A*C*E*F  +16660590.92*B*C*E*F  +1517572.74*C*D*E*F "
"inst_control","-2422482.51 +760548.23*A  +760548.23*B  +618604.07*C  -4247501.96*D  -3486084.24*E  -189960.43*F  +2641780.16*(D**2)  +2706122.87*(E**2)  +0.00*(F**2)  -273958.51*A*C  -273958.51*B*C  +529748.53*A*D  +529748.53*B*D  +1237208.13*C*D  +1392140.61*A*E  +1392140.61*B*E  +804185.29*C*E  +4264183.52*D*E  +124276.76*A*F  +124276.76*B*F  -224345.20*C*F  +117186.18*D*F  +74463.79*E*F  -547917.02*A*C*D  -547917.02*B*C*D  -356146.07*A*C*E  -356146.07*B*C*E  +1495528.92*A*D*E  +1495528.92*B*D*E  +1608370.57*C*D*E  +147516.12*A*C*F  +147516.12*B*C*F  +141374.09*C*D*F  -55670.62*A*E*F  -55670.62*B*E*F  -291648.76*C*E*F  -73754.93*D*E*F  -712292.13*A*C*D*E  -712292.13*B*C*D*E  +191770.96*A*C*E*F  +191770.96*B*C*E*F  +183786.31*C*D*E*F "
"inst_compute_ld_st","-260683995.91 +100511481.60*A  +102431838.81*B  -20074826.28*C  -486701471.77*D  -215448226.94*E  -47243883.61*F  +297400833.77*(D**2)  +250641537.03*(E**2)  +2097152.00*(F**2)  -5335287.35*A*C  -3414930.14*B*C  +54862375.10*A*D  +55557361.52*B*D  +93720582.23*C*D  +217577086.44*A*E  +223219278.81*B*E  +214147379.92*C*E  +472448380.87*D*E  +26661906.09*A*F  +26661906.09*B*F  -64041362.58*C*F  +24742769.15*D*F  +16005048.79*E*F  -79964988.09*A*C*D  -79270001.68*B*C*D  +78590638.06*A*C*E  +84232830.43*B*C*E  +239876313.94*A*D*E  +244869242.69*B*D*E  +256322199.46*C*D*E  +42266841.45*A*C*F  +42266841.45*B*C*F  +40984640.65*C*D*F  -12138377.66*A*E*F  -12138377.66*B*E*F  -15114517.60*C*E*F  -16543413.05*D*E*F  +61829444.31*A*C*D*E  +66822373.05*B*C*D*E  +8894156.86*A*C*E*F  +8894156.86*B*C*E*F  +5347592.27*C*D*E*F "
"inst_misc","-23128100.52 +19676082.81*A  +19676082.81*B  -30837051.77*C  -209856989.20*D  -131476709.29*E  -4034256.69*F  +98403523.44*(D**2)  +79807738.81*(E**2)  -524288.00*(F**2)  -21993595.20*A*C  -21993595.20*B*C  +5186275.16*A*D  +5186275.16*B*D  -52960355.69*C*D  +32163056.98*A*E  +32163056.98*B*E  -17185519.83*C*E  +72993944.20*D*E  +14480076.32*A*F  +14480076.32*B*F  +23325249.68*C*F  +568719.91*D*F  +29529728.91*E*F  -107064320.32*A*C*D  -107064320.32*B*C*D  -59444274.93*A*C*E  -59444274.93*B*C*E  +19910456.34*A*D*E  +19910456.34*B*D*E  -172360389.87*C*D*E  +89776224.87*A*C*F  +89776224.87*B*C*F  +19879430.83*C*D*F  +15278788.05*A*E*F  +15278788.05*B*E*F  +146199210.72*C*E*F  -14043117.99*D*E*F  -200888818.76*A*C*D*E  -200888818.76*B*C*D*E  +133322031.42*A*C*E*F  +133322031.42*B*C*E*F  -13174252.88*C*D*E*F "
"inst_bit_convert","0 +0.00*A  +0.00*B  +0.00*C  +0.00*D  +0.00*E  -0.00*F  +0.00*(D**2)  +0.00*(E**2)  +0.00*(F**2)  -0.00*A*C  -0.00*B*C  +0.00*A*D  +0.00*B*D  +0.00*C*D  +0.00*A*E  +0.00*B*E  +0.00*C*E  +0.00*D*E  -0.00*A*F  -0.00*B*F  +0.00*C*F  +0.00*D*F  +0.00*E*F  +0.00*A*C*D  -0.00*B*C*D  +0.00*A*C*E  +0.00*B*C*E  -0.00*A*D*E  -0.00*B*D*E  -0.00*C*D*E  -0.00*A*C*F  +0.00*B*C*F  +0.00*C*D*F  -0.00*A*E*F  -0.00*B*E*F  +0.00*C*E*F  +0.00*D*E*F  +0.00*A*C*D*E  +0.00*B*C*D*E  -0.00*A*C*E*F  -0.00*B*C*E*F  +0.00*C*D*E*F "
"inst_executed","31460550.28 +4622761.38*A  +4622761.38*B  +11919218.19*C  -30897933.43*D  -11477005.96*E  -1001875.13*F  +17134172.18*(D**2)  +12356986.44*(E**2)  -42871.47*(F**2)  +702279.29*A*C  +702279.29*B*C  +2617721.58*A*D  +2617721.58*B*D  +6026869.25*C*D  +9353452.26*A*E  +9353452.26*B*E  +10788770.67*C*E  +19073295.84*D*E  +1288320.32*A*F  +1288320.32*B*F  -1127713.44*C*F  +89545.96*D*F  +1235489.33*E*F  -4107577.86*A*C*D  -4107577.86*B*C*D  +1613470.10*A*C*E  +1613470.10*B*C*E  +10090762.98*A*D*E  +10090762.98*B*D*E  +2354664.07*C*D*E  +4019053.38*A*C*F  +4019053.38*B*C*F  +1237874.65*C*D*F  -125724.91*A*E*F  -125724.91*B*E*F  +3637770.57*C*E*F  -1701936.96*D*E*F  -3938837.17*A*C*D*E  -3938837.17*B*C*D*E  +4847573.31*A*C*E*F  +4847573.31*B*C*E*F  -597141.62*C*D*E*F "
