Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,2081,524288,64,8,8,0,8,4,2,7,0,8,8,3,2105362,2074980,7,74203184,8388617,2,12386304,0,0,0,0,0,0,0,0.241665,99.1937,0,822083584,0,69730304,524288,107479040,40370176,0,32505856,0,2,10.8753,0,0,0,1,1,2,12.062,100,100,512,0,0,0,128
conv,12045,524288,64,8,8,0,8,4,4,1,0,8,8,8,59719427,11251734,3,166570160,13369353,2,106692608,56.4107,0,0,0,0,188612608,9175040,0.542088,99.9158,0,822083584,0,365428736,26214400,877133824,189267968,0,71467008,0,1,1.86818,0,0,0,1,1,2,3.50737,100,99.702,1024,0,560,0,56
conv,2022,524288,64,8,8,0,8,4,4,7,0,8,8,3,2108350,2068736,7,74203424,4194361,2,12386304,0,0,0,0,0,0,0,0.244574,100.366,0,822083584,0,72351744,524288,103284736,41943040,0,32505856,0,2,11.2717,0,0,0,1,1,2,12.3557,100,100,512,0,0,0,128
conv,10099,262144,64,8,8,0,8,8,1,1,0,8,8,8,48408274,8589872,3,144043600,23199753,2,100925440,59.2452,0,0,0,0,185794560,6422528,0.298773,102.032,0,822083584,0,192413696,13107200,870055936,210239488,0,65978368,0,1,2.23044,0,0,0,1,1,2,3.92628,100,99.8386,640,0,784,0,96
conv,3062,262144,64,8,8,0,8,8,1,7,0,8,8,4,2857944,5754512,4,51958064,16777225,1,8028160,0,0,0,0,0,0,0,0.186727,99.6049,0,822083584,0,50855936,262144,81002496,31195136,0,30793728,0,1,7.34935,0,0,0,1,1,1,8.00059,100,100,384,0,0,0,168
conv,7375,262144,64,8,8,0,8,8,2,1,0,8,8,7,32425704,8524478,4,144595816,14811145,3,100925440,62.255,0,0,0,0,185794560,6422528,0.244522,99.6737,0,822083584,0,199229440,13107200,861667328,208928768,0,65888256,0,1,3.05191,0,0,0,1,1,3,5.68187,100,99.8384,512,0,784,0,124
conv,3198,262144,64,8,8,0,8,8,2,7,0,8,8,2,2283366,2495539,4,52043608,8388617,1,8028160,0,0,0,0,0,0,0,0.124007,100.018,0,822083584,0,53739520,262144,72613888,28049408,0,30523392,0,1,7.01924,0,0,0,1,1,1,7.5604,100,100,256,0,0,0,237
conv,10186,262144,64,8,8,0,8,8,4,1,0,8,8,8,49097471,8494255,3,143828300,10616841,2,100925440,63.9835,0,0,0,0,185794560,6422528,0.299828,101.97,0,822083584,0,201588736,13107200,857473024,222035968,0,66240512,0,1,2.24271,0,0,0,1,1,2,3.96711,100,99.8392,640,0,784,0,96
conv,3108,262144,64,8,8,0,8,8,4,7,0,8,8,2,2283624,2075934,3,52042456,4194313,1,8028160,0,0,0,0,0,0,0,0.124251,99.6236,0,822083584,0,56098816,262144,68419584,30146560,0,30531584,0,1,7.22281,0,0,0,1,1,1,7.85191,100,100,256,0,0,0,218
conv,31487,16777216,64,8,8,1,1,1,1,1,0,8,8,8,85097253,104848942,2,144967112,106954761,2,213909504,81.5817,1,49.1156,51380224,4194304,205520896,102760448,0.977048,99.8898,0,822083584,0,9361686528,822083584,3424649216,352321536,0,472383488,0,1,0.709771,0,0,0,1,1,2,12.2251,100,97.7941,1024,784,200,0,32
