Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,6361,262144,64,8,8,0,4,4,1,1,0,8,8,6,15353398,4174615,2,36376738,5373953,0,0,58.714,0,0,0,7426318,1578930,0.478831,99.8315,205520896,0,118489088,13107200,225181696,74448896,0,20004864,1.89017,0,1,5,0,15.623,1024,0,400,0,48
conv,1919,262144,64,8,8,0,4,4,1,7,0,8,8,5,3764964,1893668,3,15605494,2554809,0,0,5.03907,0,0,0,159859,169884,0.482775,99.5289,205520896,0,21495808,262144,48496640,5505024,0,8790016,6.25288,0,1,6,0,21.201,1024,0,56,0,63
conv,6322,262144,64,8,8,0,4,4,2,1,0,8,8,5,15023489,3935848,2,36263494,4325377,0,0,60.0933,0,0,0,6890440,1452888,0.475215,99.8848,205520896,0,108265472,13107200,223084544,63438848,0,19275776,1.90019,0,1,4,0,13.0395,1024,0,400,0,40
conv,1904,262144,64,8,8,0,4,4,2,7,0,8,8,5,4077891,1334872,3,15670782,1571245,0,0,6.06067,0,0,0,185367,196858,0.480878,99.5139,205520896,0,23330816,262144,47448064,4718592,0,8790016,6.05576,0,1,6,0,20.0458,1024,0,64,0,63
conv,6284,262144,64,8,8,0,4,4,4,1,0,8,8,5,14932642,3801088,2,36310670,3801089,0,0,60.9311,0,0,0,6865561,1441335,0.47616,99.9227,205520896,0,108527616,13107200,222035968,76283904,0,19652608,1.90036,0,1,4,0,13.7252,1024,0,400,0,40
conv,1859,262144,64,8,8,0,4,4,4,7,0,8,8,5,3772484,981820,3,15605562,981941,0,0,5.51888,0,0,0,160018,170602,0.484253,99.7719,205520896,0,23592960,262144,45875200,4718592,0,8749056,6.49221,0,1,6,0,21.3509,1024,0,56,0,63
conv,6348,131072,64,8,8,0,4,8,1,1,0,8,8,7,19733810,3228723,2,31245274,4390913,0,0,64.5854,0,0,0,7703371,1258867,0.479505,99.8072,205520896,0,60948480,6553600,199622656,64749568,0,16846848,1.89189,0,1,5,0,14.855,1024,0,560,0,62
conv,5526,131072,64,8,8,0,4,8,1,7,0,8,8,6,12865755,5673152,2,16085686,5760049,0,0,42.2274,0,0,0,3844404,1875644,0.482411,99.6227,205520896,0,16515072,131072,80347136,4980736,0,9609216,2.1522,0,1,5,0,13.4825,1024,0,768,0,63
conv,6402,131072,64,8,8,0,4,8,2,1,0,8,8,6,19205505,2931714,2,31228842,3342337,0,0,66.5265,0,0,0,6802215,1129137,0.477145,99.7979,205520896,0,64356352,6553600,197525504,58589184,0,16695296,1.87794,0,1,4,0,11.7162,1024,0,560,0,56
conv,5572,131072,64,8,8,0,4,8,2,7,0,8,8,6,13420078,5084215,2,16722554,5088793,0,0,46.9388,0,0,0,3740182,2097204,0.486574,99.602,205520896,0,17956864,131072,82706432,3801088,0,9691136,2.14476,0,1,5,0,12.8566,1024,0,776,0,63
conv,6359,131072,64,8,8,0,4,8,4,1,0,8,8,6,18901556,2818048,2,31226282,2818049,0,0,67.5509,0,0,0,6719275,1104207,0.475165,99.8658,205520896,0,64487424,6553600,196476928,58720256,0,16670720,1.8888,0,1,4,0,11.3254,1024,0,560,0,56
conv,4958,131072,64,8,8,0,4,8,4,7,0,8,8,6,12762373,4138616,2,16185878,4138785,0,0,45.6446,0,0,0,2953753,1837453,0.487384,99.6909,205520896,0,18087936,131072,76152832,5767168,0,9551872,2.4274,0,1,5,0,13.2586,1024,0,736,0,63
conv,9245,524288,64,8,8,0,8,1,1,1,0,8,8,7,26483245,9413526,3,77873834,10616721,0,0,36.2898,0,0,0,8591793,8344356,0.488581,99.9266,205520896,0,209190912,25690112,312475648,41418752,0,24952832,1.2975,0,1,6,0,19.8059,1024,0,392,0,32
conv,6273,524288,64,8,8,0,8,1,1,7,0,8,8,3,2211850,6590513,3,54738682,6618089,0,0,8.11399,0,0,0,826098,5238276,0.466675,99.8174,205520896,0,18350080,524288,117964800,9961472,0,11010048,1.9062,0,1,6,0,16.1515,1024,0,152,0,63
conv,9244,524288,64,8,8,0,8,1,2,1,0,8,8,7,27008889,7914905,3,77871894,8519637,0,0,37.1704,0,0,0,8415349,9653394,0.486956,99.9229,205520896,0,212336640,25690112,310378496,41943040,0,25001984,1.28909,0,1,6,0,19.604,1024,0,392,0,40
conv,6226,524288,64,8,8,0,8,1,2,7,0,8,8,2,2032069,3991639,3,54346246,3996965,0,0,6.96221,0,0,0,723119,5600635,0.464955,99.7977,205520896,0,21495808,524288,109576192,9437184,0,10829824,1.92114,0,1,6,0,16.1245,1024,0,128,0,63
conv,9254,524288,64,8,8,0,8,1,4,1,0,8,8,7,26818461,7291188,3,77873698,7470801,0,0,37.6272,0,0,0,8497487,10417978,0.48648,99.9212,205520896,0,212336640,25690112,309329920,41943040,0,24969216,1.28884,0,1,6,0,19.5658,1024,0,392,0,40
conv,6206,524288,64,8,8,0,8,1,4,7,0,8,8,2,2213482,2880998,3,54251290,2883481,0,0,6.8296,0,0,0,701795,5685992,0.461456,99.8985,205520896,0,22020096,524288,107479040,9437184,0,10780672,1.92874,0,1,6,0,16.2198,1024,0,120,0,63
conv,7174,262144,64,8,8,0,8,2,1,1,0,8,8,7,21693820,5550179,3,53976982,7864321,0,0,45.09,0,0,0,8515387,2811883,0.487657,99.8817,205520896,0,111673344,13107200,250609664,22806528,0,18972672,1.66745,0,1,5,0,15.7353,1024,0,448,0,36
conv,4933,262144,64,8,8,0,8,2,1,7,0,8,8,6,11095276,6520265,3,34020210,7764581,0,0,18.7354,0,0,0,1886759,1910021,0.481356,99.5942,205520896,0,14680064,262144,99614720,7077888,0,10223616,2.42907,0,1,6,0,16.5147,1024,0,424,0,63
conv,7202,262144,64,8,8,0,8,2,2,1,0,8,8,7,21682836,4815186,3,53953238,5767169,0,0,46.6517,0,0,0,8485187,2913066,0.486745,99.8523,205520896,0,101187584,13107200,248512512,49020928,0,19398656,1.64926,0,1,5,0,15.42,1024,0,448,0,36
conv,4344,262144,64,8,8,0,8,2,2,7,0,8,8,6,10071219,5115739,3,33626930,5666733,0,0,18.9193,0,0,0,1486090,2976912,0.477424,99.6955,205520896,0,17039360,262144,99090432,4194304,0,10190848,2.76551,0,1,6,0,16.984,1024,0,432,0,63
conv,7198,262144,64,8,8,0,8,2,4,1,0,8,8,7,21669653,4401680,3,53951062,4718593,0,0,47.4803,0,0,0,8469374,3026955,0.486197,99.9343,205520896,0,101187584,13107200,247463936,49020928,0,19365888,1.66639,0,1,5,0,15.4921,1024,0,448,0,36
conv,4643,262144,64,8,8,0,8,2,4,7,0,8,8,6,11263749,4292123,3,34118686,4487841,0,0,20.1927,0,0,0,1832120,2551801,0.478779,99.6711,205520896,0,17301504,262144,94633984,5767168,0,10108928,2.57964,0,1,6,0,16.3935,1024,0,408,0,63
conv,7299,131072,64,8,8,0,8,4,1,1,0,8,8,7,25611773,4200625,2,42112670,6488065,0,0,53.1983,0,0,0,8633756,1682805,0.488493,99.6718,205520896,0,56754176,6553600,222429184,32374784,0,16416768,1.63544,0,1,5,0,13.5985,1024,0,560,0,48
