Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,20260,524288,64,8,8,0,4,8,2,1,0,8,8,4,6719585,11067392,4,125645680,13369346,5,95420416,66.5799,0,0,0,0,166068224,9175040,0.485398,99.966,822083584,0,398458880,26214400,790102016,395837440,0,76234752,2,6.6111,0,0,0,1,1,6,15.0151,100,99.7206,1024,0,560,0,64
conv,6963,524288,64,8,8,0,4,8,2,7,0,8,8,3,2149962,2108317,4,42222596,4194306,2,12386304,0,0,0,0,0,0,0,0.242536,99.9486,822083584,0,107479040,524288,107479040,44564480,0,33816576,3,19.1751,0,0,0,1,1,3,21.9502,100,100,512,0,0,0,128
conv,20177,524288,64,8,8,0,4,8,4,1,0,8,8,4,6693712,11031936,4,125386202,11272194,5,95420416,67.6036,0,0,0,0,166068224,9175040,0.485663,99.9559,822083584,0,402653184,26214400,785907712,318767104,0,73826304,2,6.67131,0,0,0,1,1,6,15.3704,100,99.7115,1024,0,560,0,64
conv,6683,524288,64,8,8,0,4,8,4,7,0,8,8,3,2147479,2103045,4,42092876,2097154,2,12386304,0,0,0,0,0,0,0,0.241785,99.9177,822083584,0,111673344,524288,103284736,44040192,0,33800192,3,20.0343,0,0,0,1,1,3,23.2222,100,100,512,0,0,0,128
conv,51578,2097152,64,8,8,0,8,1,1,1,0,8,8,4,15321005,25887026,4,312271846,42467330,3,141295616,36.2896,0,0,0,0,205520896,25690112,0.725584,99.9854,822083584,0,1201668096,102760448,1249902592,100663296,0,109182976,1,2.60116,0,0,0,1,1,4,9.27134,100,99.5198,1024,0,392,0,36
conv,34741,2097152,64,8,8,0,8,1,1,7,0,8,8,1,2622715,2106721,4,209381324,16777218,2,38535168,0,0,0,0,0,0,0,0.361384,99.9883,822083584,0,127926272,2097152,325058560,79691776,0,42401792,1,3.85926,0,0,0,1,1,2,4.95267,100,100,768,0,0,0,80
conv,51731,2097152,64,8,8,0,8,1,2,1,0,8,8,4,15512958,25763809,4,312401626,34078722,3,141295616,37.1705,0,0,0,0,205520896,25690112,0.72536,99.9807,822083584,0,1214251008,102760448,1241513984,104857600,0,109445120,1,2.60177,0,0,0,1,1,4,9.28063,100,99.521,1024,0,392,0,36
conv,34836,2097152,64,8,8,0,8,1,2,7,0,8,8,1,2622859,2106761,4,209251692,8388610,2,38535168,0,0,0,0,0,0,0,0.363962,99.9922,822083584,0,140509184,2097152,316669952,88080384,0,42795008,1,3.86935,0,0,0,1,1,2,4.96542,100,100,768,0,0,0,80
conv,51393,2097152,64,8,8,0,8,1,4,1,0,8,8,4,15109024,25858130,4,312272158,29884418,3,141295616,37.6272,0,0,0,0,205520896,25690112,0.720409,99.9892,822083584,0,1216348160,102760448,1237319680,106954752,0,109445120,1,2.61621,0,0,0,1,1,4,9.30461,100,99.521,1024,0,392,0,36
conv,34540,2097152,64,8,8,0,8,1,4,7,0,8,8,1,2742354,2106713,4,209490868,4194306,2,38535168,0,0,0,0,0,0,0,0.361727,99.985,822083584,0,144703488,2097152,312475648,79691776,0,42532864,1,3.89705,0,0,0,1,1,2,4.99139,100,100,768,0,0,0,80
conv,36089,1048576,64,8,8,0,8,2,1,1,0,8,8,4,15969910,16565165,4,216690348,31457282,4,118226944,45.1502,0,0,0,0,194248704,14680064,0.733952,99.9583,822083584,0,642777088,52428800,1002438656,162529280,0,84246528,1,3.72773,0,0,0,1,1,4,8.57171,100,99.4944,1024,0,448,0,40
conv,19267,1048576,64,8,8,0,8,2,1,7,0,8,8,1,2363385,2106545,4,119436082,16777218,2,21102592,0,0,0,0,0,0,0,0.301708,99.9785,822083584,0,92274688,1048576,185597952,72351744,0,36667392,1,6.96692,0,0,0,1,1,2,8.3106,100,100,640,0,0,0,96
conv,35122,1048576,64,8,8,0,8,2,2,1,0,8,8,4,15948217,16478894,4,216820260,23068674,4,118226944,46.7333,0,0,0,0,194248704,14680064,0.739205,99.9553,822083584,0,490733568,52428800,994050048,301989888,0,83591168,1,3.84769,0,0,0,1,1,5,8.0524,100,99.4904,1024,0,448,0,37
