Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,17416,67108864,32,1,0,0,0,8,4,8,4,0,4,8650070,8393303,2,8652907,33554436,1,8388608,0,0,0,0,0,0,0,0.44582,99.9902,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,2,13.8429,100,100,1024,0,0,0,7
mtran,19441,67108864,32,1,0,0,0,8,4,8,4,1,4,8650043,8470809,2,8653491,33554436,1,8388608,0,0,0,0,0,0,0,0.465525,99.9923,67108864,0,2483060704,67108864,134217728,402653184,134217728,109051904,3,0,0,0,1,1,1,1,28.2334,100,94.2317,1024,0,0,0,9
mtran,17402,33554432,32,1,0,0,0,8,4,8,8,0,4,8650013,8394733,2,8782507,33554436,1,8388608,0,0,0,0,0,0,0,0.481754,99.9921,0,0,1241513984,167772160,134217728,268435456,0,74448896,2,0,0,0,0,1,1,2,21.7805,100,76.0563,1024,0,0,0,23
mtran,20609,33554432,32,1,0,0,0,8,4,8,8,1,4,8650371,8413794,2,8653923,33554436,1,8388608,0,0,0,0,0,0,0,0.485433,99.9925,33554432,0,2013298656,167772160,134217728,301989888,67108864,105906176,3,0,0,0,1,1,1,1,25.9922,100,80.199,1024,0,0,0,23
mtran,16692,16777216,32,1,0,0,0,8,4,8,16,0,5,8650413,8394673,2,8653403,33554436,1,8388608,0,0,0,0,0,0,0,0.491016,99.9904,0,0,671088640,117440512,134217728,167772160,0,35651584,1,0,0,0,0,1,1,2,10.6893,100,95.5882,1024,0,0,0,23
mtran,18792,16777216,32,1,0,0,0,8,4,8,16,1,4,8722303,8413828,2,8653595,33554436,1,8388608,0,0,0,0,0,0,0,0.492086,99.9921,16777216,0,1056997344,117440512,134217728,184549376,33554432,51380224,2,0,0,0,1,1,1,1,13.5352,100,93.8795,1024,0,0,0,23
mtran,17037,8388608,32,1,0,0,0,8,4,8,32,0,4,8650461,8397769,2,8783015,33554436,1,8388608,0,0,0,0,0,0,0,0.483288,99.9881,0,0,419430400,58720256,134217728,92274688,0,22544384,1,0,0,0,0,1,1,2,6.67042,100,97.6744,1024,0,0,0,23
mtran,18709,8388608,32,1,0,0,0,8,4,8,32,1,4,8779951,8416309,2,8653587,33554436,1,8388608,0,0,0,0,0,0,0,0.507807,99.9886,8388608,0,612401120,58720256,134217728,100663296,16777216,30408704,1,0,0,0,1,1,1,1,8.14793,100,95.693,1024,0,0,0,23
mtran,17388,4194304,32,1,0,0,0,8,4,8,64,0,4,8650441,8395817,2,8653379,33554436,1,8388608,0,0,0,0,0,0,0,0.495084,99.99,0,0,297795584,29360128,134217728,46137344,0,16252928,1,0,0,0,0,1,1,1,4.72384,100,97.5806,1024,0,0,0,23
mtran,18799,4194304,32,1,0,0,0,8,4,8,64,1,4,8780183,8412745,2,8653299,33554436,1,8388608,0,0,0,0,0,0,0,0.499132,99.9879,4194304,0,394297312,29360128,134217728,50331648,8388608,20185088,1,0,0,0,1,1,1,1,5.47639,100,96.109,1024,0,0,0,23
