Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,25844,67108864,32,1,0,0,0,8,4,8,4,1,2,8835122,16777216,1,8394387,16777217,0,0,0,0,0,0,0,0,0.234807,99.9934,67108864,0,1140883424,67108864,134217728,469762048,134217728,69206016,0,0,1,2,0,9.46002,1024,0,0,0,6
mtran,38182,33554432,32,1,0,0,0,8,4,8,8,0,2,8983528,16142813,1,8394091,16777217,0,0,0,0,0,0,0,0,0.244919,99.9957,0,0,872415232,33554432,134217728,369098752,0,58720256,0,0,1,1,0,5.031,1024,0,0,0,26
mtran,17962,33554432,32,1,0,0,0,8,4,8,8,1,2,8802542,9066220,1,8396247,16777217,0,0,0,0,0,0,0,0,0.239198,99.9921,33554432,0,1174437856,33554432,134217728,402653184,67108864,75497472,0,0,1,2,0,13.198,1024,0,0,0,26
mtran,38911,16777216,32,1,0,0,0,8,4,8,16,0,2,8983544,16270355,1,8394131,16777217,0,0,0,0,0,0,0,0,0.247497,99.9962,0,0,587202560,16777216,134217728,251658240,0,34078720,0,0,1,1,0,3.69744,1024,0,0,0,26
mtran,17649,16777216,32,1,0,0,0,8,4,8,16,1,2,8687046,9168080,1,8395383,16777217,0,0,0,0,0,0,0,0,0.244547,99.9911,16777216,0,738230240,16777216,134217728,268435456,33554432,42467328,0,0,1,2,0,9.29312,1024,0,0,0,26
mtran,40328,8388608,32,1,0,0,0,8,4,8,32,0,2,9197450,16266220,1,8394171,16777217,0,0,0,0,0,0,0,0,0.248782,99.9957,0,0,369098752,8388608,134217728,125829120,0,21233664,0,0,1,1,0,2.86919,1024,0,0,0,24
mtran,16556,8388608,32,1,0,0,0,8,4,8,32,1,2,8687122,8695311,1,8394867,16777217,0,0,0,0,0,0,0,0,0.247072,99.9911,8388608,0,444628960,8388608,134217728,134217728,16777216,25427968,0,0,1,2,0,7.54869,1024,0,0,0,24
mtran,29416,4194304,32,1,0,0,0,8,4,8,64,0,2,8893520,12110740,1,8394943,16777217,0,0,0,0,0,0,0,0,0.249118,99.9886,0,0,264241152,4194304,134217728,67108864,0,15466496,0,0,1,2,0,3.44509,1024,0,0,0,26
mtran,17752,4194304,32,1,0,0,0,8,4,8,64,1,2,8692950,8667678,1,8395803,16777217,0,0,0,0,0,0,0,0,0.248586,99.9915,4194304,0,302022624,4194304,134217728,71303168,8388608,17563648,0,0,1,2,0,6.00182,1024,0,0,0,26
mtran,22374,67108864,64,1,0,0,0,8,8,8,8,0,2,8687014,8813183,1,8394191,16777217,0,0,0,0,0,0,0,0,0.461,99.9905,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,4,0,12.533,1024,0,0,0,6
