Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,12089,16777216,64,1,0,0,0,4,16,4,64,1,3,16777348,8376513,1,16777388,33554441,1,8388608,0,0,0,0,0,0,0,0.927203,100.027,0,16777216,0,973209536,117440512,134217728,150994944,33554432,47185920,0,1,0,0,0,1,1,1,1,3.15211,100,94.4531,1024,0,0,0,22
mtran,3113,67108864,128,1,0,0,0,4,32,4,32,0,7,8389084,8359978,3,16778004,33554441,1,8388608,0,0,0,0,0,0,0,0.881314,99.9408,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,1,13.2595,100,100,1024,0,0,0,7
mtran,12076,67108864,128,1,0,0,0,4,32,4,32,1,3,16777948,8378772,1,16778028,33554441,1,8388608,0,0,0,0,0,0,0,0.833849,99.974,0,67108864,0,2483289984,67108864,134217728,402653184,134217728,109051904,0,1,0,0,0,1,1,1,1,7.54538,100,94.2383,1024,0,0,0,9
mtran,3144,33554432,128,1,0,0,0,4,32,4,64,0,7,8388676,8359962,3,16777468,33554441,1,8388608,0,0,0,0,0,0,0,0.917184,99.9876,0,0,0,1241513984,167772160,134217728,268435456,0,74448896,0,2,0,0,0,0,1,1,1,19.405,100,76.0563,1024,0,0,0,22
mtran,12021,33554432,128,1,0,0,0,4,32,4,64,1,3,16777348,8378567,1,16777620,33554441,1,8388608,0,0,0,0,0,0,0,0.896604,99.9367,0,33554432,0,2013527936,167772160,134217728,301989888,67108864,105906176,0,1,0,0,0,1,1,1,1,7.27024,100,80.2058,1024,0,0,0,22
mtran,3159,67108864,256,1,0,0,0,4,64,4,64,0,7,8388676,8359962,3,16777324,33554441,1,8388608,0,0,0,0,0,0,0,0.846154,99.9163,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,1,13.0667,100,100,1024,0,0,0,7
mtran,11950,67108864,256,1,0,0,0,4,64,4,64,1,3,16777388,8378250,1,16777428,33554441,1,8388608,0,0,0,0,0,0,0,0.813653,99.9797,0,67108864,0,2483552000,67108864,134217728,402653184,134217728,109051904,0,1,0,0,0,1,1,1,1,7.62419,100,94.2458,1024,0,0,0,9
mtran,5310,67108864,32,1,0,0,0,8,4,8,4,0,4,8388676,8384384,2,8388716,33554441,1,8388608,0,0,0,0,0,0,0,0.379086,92.909,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,1,8.28893,100,100,1024,0,0,0,7
mtran,9660,67108864,32,1,0,0,0,8,4,8,4,1,3,8388676,9189228,1,8388716,33554441,1,8388608,0,0,0,0,0,0,0,0.475662,99.325,0,67108864,0,2483060704,67108864,134217728,402653184,134217728,109051904,0,1,0,0,0,1,1,1,1,9.44391,100,94.2317,1024,0,0,0,9
mtran,5482,33554432,32,1,0,0,0,8,4,8,8,0,4,8388676,8376400,2,8388716,33554441,1,8388608,0,0,0,0,0,0,0,0.47982,99.805,0,0,0,1241513984,167772160,134217728,268435456,0,74448896,0,1,0,0,0,0,1,1,1,11.0502,100,76.0563,1024,0,0,0,22
