Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,3589,16384,64,64,1,4,0,1,1,0,1,1,19756,16384,1,2111606,16385,0,0,0,98.4739,16777216,526215,0,0,0.496372,99.6468,3758325760,0,453361664,67108864,302137344,33816576,0,144343040,40.1777,0,1,4,0,86.2256,1024,1024,0,0,38
nbody_kernel,3453,16384,64,64,1,4,0,1,1,0,2,1,136452,16384,1,2111638,16385,0,0,0,99.9864,16777216,264470,0,0,0.499022,99.9329,3758374912,0,226869248,33554432,285360128,17137664,0,135107072,42.4006,0,1,4,0,85.3816,1024,2048,0,0,48
nbody_kernel,3739,16384,64,64,1,4,0,1,1,0,4,1,22444,16384,1,2111686,16385,0,0,0,99.9732,16777216,266709,0,0,0.338234,97.0479,3758473216,0,113606656,16777216,276971520,8962048,0,130496000,39.8711,0,1,3,0,78.9261,1024,4096,0,0,56
nbody_kernel,5766,16384,64,64,1,4,1,0,0,0,1,1,169570,16384,1,16793718,16385,0,0,0,0,0,0,0,0,0.499607,99.8899,3758325760,0,289619968,67108864,268500992,8634368,0,137388032,24.7786,0,1,2,0,57.9176,1024,0,0,0,32
nbody_kernel,3764,16384,64,64,1,4,1,0,1,0,1,1,21716,16384,1,2113670,16385,0,0,0,98.4788,16777216,525348,0,0,0.49703,99.9056,3758325760,0,428032000,67108864,289472512,33800192,0,143155200,38.2706,0,1,3,0,88.0957,1024,1024,0,0,39
nbody_kernel,9829,16384,64,64,1,4,1,1,0,0,1,1,166816,16384,1,33568886,16385,0,0,0,0,0,0,0,0,0.499804,99.8268,3758325760,0,826654720,67108864,1073889280,4456448,0,179208192,14.6326,0,1,5,0,43.2601,1024,0,0,0,32
nbody_kernel,5274,16384,64,64,1,4,1,1,0,0,2,1,166720,16384,1,16791686,16385,0,0,0,0,0,0,0,0,0.49935,99.8483,3758374912,0,413515776,33554432,537018368,2457600,0,148345344,26.964,0,1,5,0,63.7619,1024,0,0,0,46
nbody_kernel,4267,16384,64,64,1,4,1,1,0,0,4,1,19484,16384,2,16791750,16385,0,0,0,0,0,0,0,0,0.497919,99.0385,3758473216,0,206946304,16777216,268582912,1654784,0,132922368,33.7115,0,1,3,0,71.3826,1024,0,0,0,61
nbody_kernel,3581,16384,64,64,1,4,1,1,1,0,1,1,19868,16384,1,2111622,16385,0,0,0,98.475,16777216,526019,0,0,0.496007,99.9289,3758325760,0,453361664,67108864,302137344,33816576,0,144343040,40.2714,0,1,4,0,86.1822,1024,1024,0,0,38
nbody_kernel,3456,16384,64,64,1,4,1,1,1,0,2,1,19216,16384,1,2111638,16385,0,0,0,99.9863,16777216,264486,0,0,0.499115,99.958,3758374912,0,226869248,33554432,285360128,17137664,0,135107072,42.4216,0,1,4,0,85.4029,1024,2048,0,0,48
nbody_kernel,3618,16384,64,64,1,4,1,1,1,0,4,1,22468,16384,1,2111670,16385,0,0,0,99.9777,16777216,265938,0,0,0.339938,96.6376,3758473216,0,113606656,16777216,276971520,8962048,0,130496000,39.8622,0,1,3,0,79.2428,1024,4096,0,0,56
