Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,13934,16384,64,64,1,1,1,0,1,0,1,1,152224,0,1,2288368,16386,1,2113536,0,6,4.61538,33554432,524288,0,0,0.8848,97.6835,3758325760,0,1640251392,268435456,1094778880,29589504,0,212362752,7,28.2504,0,0,2,1,3,1,65.2754,100,99.9378,1024,1024,0,0,27
nbody_kernel,20061,16384,64,64,1,1,1,1,0,0,1,1,259644,62,1,33828738,16386,7,134232064,0,0,0,0,0,0,0,0.931681,98.6002,3758325760,0,2739355648,268435456,1073889280,272859136,0,253659136,6,19.6173,0,0,1,1,1,8,60.2088,100,99.9479,1024,0,0,0,28
nbody_kernel,14519,16384,64,64,1,1,1,1,0,0,2,1,255294,0,1,17046878,16386,10,134232064,0,0,0,0,0,0,0,0.686353,97.0113,3758374912,0,1369915392,134217728,537018368,1210384384,0,219126272,7,27.2498,0,0,2,1,1,5,76.8371,100,99.9696,1024,0,0,0,38
nbody_kernel,14941,16384,64,64,1,1,1,1,0,0,4,1,241486,16,1,8662426,16386,10,134232064,0,0,0,0,0,0,0,0.520304,97.7203,3758473216,0,685195264,67108864,268582912,471351296,0,164118528,6,27.2675,0,0,2,1,1,3,55.224,100,99.9794,1024,0,0,0,56
nbody_kernel,14946,16384,64,64,1,1,1,1,1,0,1,1,259458,0,1,2370970,16386,1,2111488,0,5,4.61538,33554432,524288,0,0,0.897182,99.8516,3758325760,0,1669808128,268435456,1107443712,302219264,0,222201856,7,27.1834,0,0,2,1,3,1,64.8513,100,99.9406,1024,1024,0,0,28
nbody_kernel,10045,16384,64,64,1,1,1,1,1,0,2,1,259458,16,1,2370970,16386,1,2111488,0,4,9.09091,16777216,524288,0,0,0.874093,99.8392,3758374912,0,835141632,134217728,553795584,17104896,0,165648896,8,40.55,0,0,2,1,2,1,77.7168,100,99.9598,1024,2048,0,0,32
nbody_kernel,7311,16384,64,64,1,1,1,1,1,0,4,1,259458,0,1,2370970,16386,1,2111488,0,5,9.09091,16777216,524288,0,0,0.480032,99.5091,3758473216,0,417808384,67108864,276971520,8929280,0,141574144,9,53.7635,0,0,3,1,2,1,87.7247,100,99.9761,1024,4096,0,0,48
nbody_kernel,14073,16384,64,64,1,2,0,0,0,0,1,1,259524,80,1,8664554,16386,10,134234112,0,0,0,0,0,0,0,0.99986,99.9872,3758325760,0,562315264,134217728,268500992,4407296,0,147874816,5,28.1154,0,0,2,1,1,3,48.8227,100,99.9107,1024,0,0,0,30
nbody_kernel,10078,16384,64,64,1,2,0,0,1,0,1,0,0,0,1,2113560,16386,1,2113536,0,4,9.09091,16777216,524288,0,0,0.881669,99.4272,3758325760,0,834945024,134217728,557907968,29573120,0,166224896,8,39.2486,0,0,2,1,2,1,75.9403,100,99.9205,1024,1024,0,0,32
nbody_kernel,14147,16384,64,64,1,2,0,1,0,0,1,1,259588,72,2,33828250,16386,10,134232064,0,0,0,0,0,0,0,0.973667,99.1939,3758325760,0,1632059392,134217728,1073889280,272859136,0,214861824,6,27.7027,0,0,2,1,1,10,63.9589,100,99.9385,1024,0,0,0,32
nbody_kernel,14497,16384,64,64,1,2,0,1,0,0,2,1,129728,0,1,16921312,16386,10,134232064,0,0,0,0,0,0,0,0.684021,97.718,3758374912,0,816267264,67108864,537018368,203751424,0,168270336,5,27.2666,0,0,2,1,1,5,51.3339,100,99.9604,1024,0,0,0,40
nbody_kernel,14065,16384,64,64,1,2,0,1,0,0,4,1,259458,16,1,8662426,16386,10,134232064,0,0,0,0,0,0,0,0.519808,97.7208,3758473216,0,408371200,33554432,268582912,135806976,0,143933440,5,27.2675,0,0,2,1,1,3,47.3767,100,99.9765,1024,0,0,0,56
nbody_kernel,9971,16384,64,64,1,2,0,1,1,0,1,1,129730,0,1,2370970,16386,1,2111488,0,4,9.09091,16777216,524288,0,0,0.88192,99.7356,3758325760,0,864501760,134217728,570572800,33783808,0,167675904,8,39.7639,0,0,2,1,2,1,77.2567,100,99.9212,1024,1024,0,0,30
nbody_kernel,8029,16384,64,64,1,2,0,1,1,0,2,1,129729,16,1,2241248,16386,1,2111488,0,5,9.09091,16777216,524288,0,0,0.713671,98.9879,3758374912,0,432488448,67108864,285360128,17104896,0,142580224,9,49.7909,0,0,3,1,2,1,85.0278,100,99.9533,1024,2048,0,0,40
nbody_kernel,6588,16384,64,64,1,2,0,1,1,0,4,0,0,0,1,2111512,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.487252,99.9435,3758473216,0,216481792,33554432,276971520,8929280,0,134234112,10,60.5189,0,0,3,1,2,1,95.7954,100,99.9748,1024,4096,0,0,55
nbody_kernel,14072,16384,64,64,1,2,1,0,0,0,1,1,216848,8,1,8664474,16386,10,134234112,0,0,0,0,0,0,0,0.99987,99.9903,3758325760,0,562315264,134217728,268500992,4407296,0,147874816,5,28.1164,0,0,2,1,1,3,48.8229,100,99.9107,1024,0,0,0,30
nbody_kernel,10017,16384,64,64,1,2,1,0,1,0,1,1,245638,0,1,2359384,16386,1,2113536,0,4,9.09091,16777216,524288,0,0,0.880205,99.5858,3758325760,0,834945024,134217728,557907968,29573120,0,166224896,8,39.2354,0,0,2,1,2,1,75.7939,100,99.9205,1024,1024,0,0,32
nbody_kernel,14142,16384,64,64,1,2,1,1,0,0,1,1,129732,16,2,33828250,16386,10,134232064,0,0,0,0,0,0,0,0.973655,99.8384,3758325760,0,1632059392,134217728,1073889280,272859136,0,214861824,6,27.9001,0,0,2,1,1,10,63.9989,100,99.9385,1024,0,0,0,32
nbody_kernel,14494,16384,64,64,1,2,1,1,0,0,2,1,259458,0,1,17051034,16386,10,134232064,0,0,0,0,0,0,0,0.685006,97.7178,3758374912,0,816267264,67108864,537018368,203751424,0,168270336,5,27.2668,0,0,2,1,1,5,51.3345,100,99.9604,1024,0,0,0,40
nbody_kernel,14063,16384,64,64,1,2,1,1,0,0,4,1,259458,16,1,8662538,16386,10,134232064,0,0,0,0,0,0,0,0.523376,96.962,3758473216,0,408371200,33554432,268582912,135806976,0,143933440,5,27.2671,0,0,2,1,1,3,47.7467,100,99.9765,1024,0,0,0,56
nbody_kernel,9959,16384,64,64,1,2,1,1,1,0,1,1,2648,0,1,2116786,16386,1,2111488,0,4,9.09091,16777216,524288,0,0,0.883593,99.8037,3758325760,0,864501760,134217728,570572800,33783808,0,167675904,8,39.7553,0,0,2,1,2,1,77.1872,100,99.9212,1024,1024,0,0,30
nbody_kernel,7808,16384,64,64,1,2,1,1,1,0,2,1,1,16,1,2121920,16386,1,2111488,0,5,9.09091,16777216,524288,0,0,0.710382,99.8888,3758374912,0,432488448,67108864,285360128,17104896,0,142580224,9,49.876,0,0,3,1,2,1,84.4051,100,99.9533,1024,2048,0,0,40
