Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,2969,16384,64,64,1,1,1,0,0,0,1,1,120,96,1,8405176,16395,9,134234112,0,0,0,0,0,0,0,0.530754,98.209,0,3758325760,0,1099186176,268435456,268500992,4423680,0,168846848,0,5,22.6822,0,0,2,1,1,3,46.5169,100,99.9218,1024,0,0,0,23
nbody_kernel,2134,16384,64,64,1,1,1,0,1,0,1,1,0,8,1,2113896,16395,1,2113536,0,6,4.61538,33554432,524288,0,0,0.50579,99.7143,0,3758325760,0,1640251392,268435456,1103167488,29589504,0,212624896,0,7,31.6467,0,0,2,1,3,1,71.7451,100,99.9379,1024,1024,0,0,27
nbody_kernel,3617,16384,64,64,1,1,1,1,0,0,1,1,0,8,2,33568816,16395,7,134232064,0,0,0,0,0,0,0,0.514181,99.7953,0,3758325760,0,2739355648,268435456,1073889280,2957213696,0,337545216,0,7,18.688,0,0,1,1,1,7,77.4758,100,99.9609,1024,0,0,0,31
nbody_kernel,2556,16384,64,64,1,1,1,1,0,0,2,1,0,8,2,16791616,16395,10,134232064,0,0,0,0,0,0,0,0.508807,99.686,0,3758374912,0,1369915392,134217728,537018368,1210384384,0,219126272,0,7,26.466,0,0,2,1,1,5,74.1,100,99.9696,1024,0,0,0,38
nbody_kernel,2533,16384,64,64,1,1,1,1,0,0,4,1,0,8,1,8403120,16395,10,134232064,0,0,0,0,0,0,0,0.507287,99.8525,0,3758473216,0,685195264,67108864,268582912,739770368,0,172506624,0,6,26.6198,0,0,2,1,1,3,55.7232,100,99.9804,1024,0,0,0,55
nbody_kernel,1813,16384,64,64,1,1,1,1,1,0,1,1,0,8,1,2111536,16395,1,2111488,0,7,4.61538,33554432,524288,0,0,0.505623,99.5656,0,3758325760,0,1669808128,268435456,1115832320,33783808,0,214075392,0,9,37.3376,0,0,2,1,4,1,85.2968,100,99.9383,1024,1024,0,0,28
nbody_kernel,1463,16384,64,64,1,1,1,1,1,0,2,1,0,8,1,2111536,16395,1,2111488,0,5,9.09091,16777216,524288,0,0,0.503318,99.4334,0,3758374912,0,835141632,134217728,557989888,17104896,0,165779968,0,9,46.493,0,0,3,1,3,1,89.5533,100,99.9599,1024,2048,0,0,32
nbody_kernel,1217,16384,64,64,1,1,1,1,1,0,4,1,0,8,1,2111688,16395,1,2111488,0,6,9.09091,16777216,524288,0,0,0.499268,99.6507,0,3758473216,0,417808384,67108864,279068672,8929280,0,141639680,0,10,55.9747,0,0,3,1,2,1,91.2529,100,99.9761,1024,4096,0,0,48
nbody_kernel,2548,16384,64,64,1,2,0,0,0,0,1,1,0,464,1,8405496,16395,10,134234112,0,0,0,0,0,0,0,0.507723,99.9195,0,3758325760,0,562315264,134217728,268500992,4407296,0,147874816,0,5,26.4623,0,0,2,1,1,3,45.9838,100,99.9107,1024,0,0,0,29
nbody_kernel,1501,16384,64,64,1,2,0,0,1,0,1,1,0,8,1,2113776,16395,1,2113536,0,5,9.09091,16777216,524288,0,0,0.506022,99.5352,0,3758325760,0,834945024,134217728,566296576,29589504,0,166487552,0,9,45.1887,0,0,3,1,3,1,87.4976,100,99.9207,1024,1024,0,0,32
