HW,Runs,Method,Overhead,Extra runtime (%) [Kristian],Extra runtime (%) [Jarda],"Diff (K - J), pp",Average extra runtime [Kristian],Extra runtime deviation [Kristian],Average GT TS [Kristian],GT TS deviation [Kristian],Average estimated TS [Kristian],Estimated TS deviation [Kristian],Average miss (tuning steps) [Kristian],Average extra runtime [Jarda],Extra runtime deviation [Jarda],Average GT TS [Jarda],GT TS deviation [Jarda],Average estimated TS [Jarda],Estimated TS deviation [Jarda],Average miss (tuning steps) [Jarda]
2080,10000000,0.5,1000000,7.2608157297638,8.00206600231668,-0.741250272552879,0.072608157297638,0.0674674704183882,535.474,434.652292440751,308.951,295.862752976781,433.609,0.0800206600231668,0.0666693159370862,588.276,436.089314044726,257.08,237.605554648876,448.474
2080,10000000,1,100,27.7843646933404,26.8692519788661,0.91511271447435,0.277843646933404,0.158587160811515,908.547,573.278183599376,47.841,140.040971572608,868.072,0.268692519788661,0.16222916910231,977.059,581.634503377336,64.377,194.397064975272,937.726
2080,10000000,1,1000,27.780458808238,27.8177197311958,-0.0372609229578877,0.27780458808238,0.158579431391849,908.547,573.278183599376,47.841,140.040971572608,868.072,0.278177197311958,0.161927519889713,982.466,587.163035999372,60.403,183.442412192492,946.215
2080,10000000,1,10000,27.7562965608317,27.3965675250682,0.35972903576349,0.277562965608317,0.158322147122487,908.547,573.278183599376,47.739,139.939111327034,868.16,0.273965675250682,0.156551382446849,1005.956,569.171982852284,60.665,182.05377989759,964.499
2080,10000000,1,1000000,25.0068843623402,25.6901083643589,-0.683224002018701,0.250068843623402,0.151371028347539,535.474,434.652292440751,36.592,52.7256060752269,501.914,0.256901083643589,0.151110733528125,563.411,432.627068130278,34.009,59.1480085801712,532.428
750,10000,0,100,16.5870135315008,15.0572628043509,1.52975072714991,0.165870135315008,0.146110692083657,170.248,140.603778384509,40.432,23.4610182217226,136.758,0.150572628043509,0.130227173927274,166.541,135.311804063799,39.708,22.8591936865673,132.361
750,10000,0,1000,16.409662873263,14.8258479830263,1.58381489023669,0.16409662873263,0.14662208171822,157.194,130.432466679121,38.823,21.2476744845171,124.973,0.148258479830263,0.129670394344026,155.156,125.207738035634,38.431,21.0645493424379,122.077
750,10000,0,10000,14.7060018106515,14.0030972091761,0.702904601475431,0.147060018106515,0.138764927586983,97.238,77.8875558481584,30.513,11.7080242141875,72.949,0.140030972091761,0.137418458480505,97.595,81.5703805005224,30.56,11.8464509453254,74.799
750,10000,0,100000,11.0406929110476,10.6169346432311,0.423758267816529,0.110406929110476,0.12625544934787,25.931,22.2477917780619,16.756,0.498461633428309,16.989,0.106169346432311,0.11624558464234,25.263,21.1058245752209,16.783,0.507849387121812,16.17
750,10000,0,1000000,25.3129160591121,25.920517450314,-0.607601391201861,0.253129160591121,0.125399387770597,6.282,4.86482024333891,16.756,0.498461633428309,11.73,0.25920517450314,0.129117902988862,6.164,4.7464833297927,16.769,0.487482307371252,11.805
