Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,7724,262144,64,16,16,32,8,8,8,16,2,2,1,0,0,1,1,32,5,8649557,168014,2,17036954,131076,3,16777216,0,10,31.25,25165824,8388608,0,0,0.496865,99.8777,1073741824,0,986972160,8388608,738721792,88080384,0,90513408,5,22.7776,0,0,0,1,3,2,47.9553,100,99.9819,1024,4096,0,0,32
gemm_fast,16501,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,0,0,32,3,8408206,169424,2,50721050,262148,9,134217728,0,0,0,0,0,0,0,0.965664,99.7334,1073741824,0,2328887296,16777216,1074790400,381943808,0,152657920,4,10.6962,0,0,0,1,1,9,38.7285,100,99.8175,1024,0,0,0,32
gemm_fast,11054,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,0,1,32,4,8548919,167662,3,50591258,262148,8,75497472,0,3,33.3333,8388608,4194304,0,0,0.73104,99.914,1073741824,0,1615855616,8388608,907018240,322699264,0,122757120,5,15.9066,0,0,0,1,1,8,47.6524,100,99.9867,1024,2048,0,0,38
gemm_fast,9510,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,1,0,32,4,8439227,169672,2,25425378,262148,9,75497472,0,5,30,16777216,4194304,0,0,0.974775,99.8108,1073741824,0,1674575872,8388608,940572672,414973952,0,128524288,5,18.515,0,0,0,1,2,9,58.8573,100,99.9873,1024,2048,0,0,32
gemm_fast,7506,262144,64,16,16,32,8,8,16,8,2,1,1,0,0,1,1,32,5,8779189,169778,2,25425386,262148,3,16777216,0,10,31.25,25165824,8388608,0,0,0.497445,99.9097,1073741824,0,995360768,8388608,772800512,104595456,0,92356608,5,23.4149,0,0,0,1,3,3,49.2813,100,99.9823,1024,4096,0,0,32
gemm_fast,15105,262144,64,16,16,32,8,8,16,8,2,1,2,0,0,0,0,32,2,6069747,167914,2,42202674,262148,10,134217728,0,0,0,0,0,0,0,0.743961,99.803,1073741824,0,1607467008,16777216,806354944,264241152,0,118046720,3,11.6338,0,0,0,1,1,8,32.8076,100,99.7641,1024,0,0,0,38
gemm_fast,10623,262144,64,16,16,32,8,8,16,8,2,1,2,0,0,0,1,32,4,8468517,167666,3,42202602,262148,8,75497472,0,3,33.3333,8388608,4194304,0,0,0.735826,99.921,1073741824,0,1113063424,8388608,873463808,331612160,0,106274816,4,16.5611,0,0,0,1,2,8,43.018,100,99.9846,1024,2048,0,0,40
gemm_fast,8178,262144,64,16,16,32,8,8,16,8,2,1,2,0,0,1,0,32,4,7821467,169658,2,17036826,262148,10,75497472,0,6,30,16777216,4194304,0,0,0.740347,99.9657,1073741824,0,1121452032,8388608,672137216,297795584,0,99188736,5,21.504,0,0,0,1,2,6,53.8156,100,99.9835,1024,2048,0,0,38
gemm_fast,7299,262144,64,16,16,32,8,8,16,8,2,1,2,0,0,1,1,32,5,8519699,168114,2,16777464,262148,3,16777216,0,10,31.25,25165824,8388608,0,0,0.49758,99.8344,1073741824,0,718798848,8388608,739246080,88080384,0,82149376,5,24.1162,0,0,0,1,4,2,45.1457,100,99.9801,1024,4096,0,0,32
gemm_fast,16445,262144,64,16,16,32,8,8,16,16,2,1,1,0,0,0,0,32,3,8590093,169518,2,50591586,262148,9,134217728,0,0,0,0,0,0,0,0.964402,99.8282,1073741824,0,2328887296,16777216,1074790400,381943808,0,152657920,4,10.6861,0,0,0,1,1,9,38.6551,100,99.8175,1024,0,0,0,32
gemm_fast,10144,262144,64,16,16,32,8,8,16,16,2,1,1,0,0,0,1,32,4,8550197,167862,3,42202602,262148,8,75497472,0,3,33.3333,8388608,4194304,0,0,0.725132,99.8957,1073741824,0,1674575872,8388608,940572672,331087872,0,125902848,5,17.2779,0,0,0,1,2,8,54.0669,100,99.987,1024,2048,0,0,36
gemm_fast,9450,262144,64,16,16,32,8,8,16,16,2,1,1,0,0,1,0,32,4,8157597,167608,2,25173700,262148,9,75497472,0,5,30,16777216,4194304,0,0,0.975244,99.7806,1073741824,0,1674575872,8388608,940572672,414973952,0,128524288,5,18.6409,0,0,0,1,2,9,59.2752,100,99.9873,1024,2048,0,0,32
gemm_fast,7494,262144,64,16,16,32,8,8,16,16,2,1,1,0,0,1,1,32,5,8649679,170114,2,16907064,262148,3,16777216,0,10,31.25,25165824,8388608,0,0,0.497534,99.9265,1073741824,0,995360768,8388608,806354944,121372672,0,93929472,5,23.498,0,0,0,1,4,3,50.9175,100,99.9826,1024,4096,0,0,32
gemm_fast,23821,524288,128,16,16,32,8,16,8,8,2,1,1,0,0,0,0,32,2,8902637,170450,2,84275354,262148,9,201326592,0,0,0,0,0,0,0,0.714221,99.9186,1073741824,0,2976382976,16777216,1611661312,628621312,0,197132288,3,7.39126,0,0,0,1,1,9,34.0898,100,99.9834,1024,0,0,0,38
gemm_fast,18518,524288,128,16,16,32,8,16,8,8,2,1,1,0,0,0,1,32,2,8862135,168210,3,84145642,262148,9,142606336,0,3,20,16777216,4194304,0,0,0.99273,99.92,1073741824,0,2221408256,16777216,1712324608,594018304,0,175603712,3,9.4878,0,0,0,1,2,9,38.9972,100,99.9813,1024,2048,0,0,32
gemm_fast,10732,524288,128,16,16,32,8,16,8,8,2,1,1,0,0,1,0,32,4,8647601,168398,2,33813986,262148,8,75497472,0,8,27.7778,33554432,4194304,0,0,0.742966,99.8965,1073741824,0,2103967744,16777216,1175453696,459276288,0,150945792,5,16.3656,0,0,0,1,2,8,59.6031,100,99.9783,1024,2048,0,0,40
gemm_fast,12674,524288,128,16,16,32,8,16,8,8,2,1,1,0,0,1,1,32,3,8760529,168256,2,33814010,262148,2,16777216,0,10,25,50331648,8388608,0,0,0.992107,99.9702,1073741824,0,1181220864,16777216,1276116992,73400320,0,113197056,3,13.8814,0,0,0,1,4,2,32.9379,100,99.9711,1024,4096,0,0,32
gemm_fast,25434,524288,128,16,16,32,8,16,8,8,2,2,1,0,0,0,0,32,2,9039461,170382,2,50850732,131076,9,201326592,0,0,0,0,0,0,0,0.727333,99.9253,1073741824,0,2858942464,16777216,1074266112,478150656,0,171966464,3,6.90085,0,0,0,1,1,6,28.4773,100,99.9809,1024,0,0,0,40
gemm_fast,15865,524288,128,16,16,32,8,16,8,8,2,2,1,0,0,0,1,32,3,8776581,168106,2,50591538,131076,10,142606336,0,3,20,16777216,4194304,0,0,0.995411,99.8164,1073741824,0,2104492032,16777216,1174929408,543162368,0,153567232,4,11.079,0,0,0,1,2,6,41.7639,100,99.9787,1024,2048,0,0,32
