Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,3394,65536,128,32,64,32,8,16,8,8,2,2,1,0,0,1,0,32,2,2395566,172946,2,20971986,262145,0,0,0,89.5532,4194304,782009,0,0,0.599695,97.9786,1073741824,0,349569024,2097152,348651520,15466496,0,55926784,18.7921,0,1,5,0,40.249,1024,4096,0,0,48
gemm_fast,5915,65536,128,32,64,32,8,16,8,8,2,2,1,0,0,1,1,32,1,2418950,204178,2,37749190,262145,0,0,0,69.767,8388608,4762363,0,0,0.249868,99.7271,1073741824,0,198639616,2097152,189267968,15466496,0,46229504,10.7025,0,1,6,0,30.4426,1024,12288,0,0,56
gemm_fast,2989,65536,128,32,64,32,8,16,8,8,2,2,2,0,0,0,0,32,1,1370616,186470,3,25166082,262145,0,0,0,0,0,0,0,0,0.585181,99.925,1073741824,0,439615488,6291456,268959744,15400960,0,56444928,21.2356,0,1,5,0,58.5718,1024,0,0,0,48
gemm_fast,4662,65536,128,32,64,32,8,16,8,8,2,2,2,0,0,0,1,32,1,2114958,191172,3,33554886,262145,0,0,0,62.4513,4194871,3360760,0,0,0.365792,99.2654,1073741824,0,313917440,2097152,227016704,34275328,0,51599360,13.891,0,1,5,0,34.7419,1024,8192,0,0,42
gemm_fast,2364,65536,128,32,64,32,8,16,8,8,2,2,2,0,0,1,0,32,3,2757754,164702,2,12583374,262145,0,0,0,89.993,4194304,757688,0,0,0.600647,98.9512,1073741824,0,314048512,2097152,214433792,21823488,0,50821120,27.2323,0,1,5,0,50.0445,1024,4096,0,0,46
gemm_fast,3872,65536,128,32,64,32,8,16,8,8,2,2,2,0,0,1,1,32,2,2556826,185873,2,20971974,262145,0,0,0,72.5732,8388608,4253861,0,0,0.247851,97.2976,1073741824,0,196673536,2097152,172490752,21823488,0,45842432,16.3305,0,1,5,0,32.0494,1024,12288,0,0,47
gemm_fast,2560,65536,128,32,64,32,8,16,8,8,2,2,4,0,0,0,0,32,2,1370378,195722,3,20971766,262145,0,0,0,0,0,0,0,0,0.580314,99.9178,1073741824,0,437583872,6291456,201850880,17563648,0,54351872,24.8488,0,1,4,0,69.6823,1024,0,0,0,48
gemm_fast,3468,65536,128,32,64,32,8,16,8,8,2,2,4,0,0,0,1,32,1,1630079,183088,3,25166539,262145,0,0,0,69.7857,4194614,2566934,0,0,0.365572,98.8442,1073741824,0,313917440,2097152,218628096,15466496,0,50749440,18.8439,0,1,5,0,48.92,1024,8192,0,0,48
gemm_fast,2059,65536,128,32,64,32,8,16,8,8,2,2,4,0,0,1,0,32,3,3245796,157351,2,8389034,262145,0,0,0,92.3157,4194304,633094,0,0,0.54529,97.6103,1073741824,0,312016896,2097152,147324928,15597568,0,48465920,30.8188,0,1,4,0,69.2562,1024,4096,0,0,56
gemm_fast,3131,65536,128,32,64,32,8,16,8,8,2,2,4,0,0,1,1,32,2,2726418,178843,2,12583366,262145,0,0,0,76.1358,8388608,3662284,0,0,0.247833,98.1929,1073741824,0,188284928,2097152,164102144,15597568,0,45123584,20.3297,0,1,5,0,36.2217,1024,12288,0,0,48
