Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,357,8192,64,32,16,32,8,8,16,8,2,2,1,0,0,1,1,32,8,2107287,8807,2,4194352,16393,2,3145728,0,7,33.3333,5242880,1048576,0,0,0.261271,90.7062,0,268435456,0,123920384,1048576,98598912,12787712,0,15775232,0,4,20.1761,0,0,0,1,2,2,35.1369,100,99.9968,1024,6144,0,0,40
gemm_fast,640,8192,64,32,16,32,8,8,16,8,2,2,2,0,0,0,0,32,5,2105351,8215,3,9437232,16393,7,25165824,0,0,0,0,0,0,0,0.265366,97.2159,0,268435456,0,291684352,2097152,100696064,26419200,0,21574912,0,3,11.5966,0,0,0,1,1,4,27.512,100,99.8457,1024,0,0,0,40
gemm_fast,660,8192,64,32,16,32,8,8,16,8,2,2,2,0,0,0,1,32,4,2105351,8239,3,9437232,16393,5,17825792,0,1,33.3333,1048576,524288,0,0,0.264701,97.3937,0,268435456,0,200466432,1048576,111181824,54730752,0,19871232,0,3,11.1943,0,0,0,1,1,3,23.0056,100,99.9974,1024,2048,0,0,38
gemm_fast,603,8192,64,32,16,32,8,8,16,8,2,2,2,0,0,1,0,32,5,2105351,8215,1,3145776,16393,4,10485760,0,3,33.3333,4194304,524288,0,0,0.266275,101.584,0,268435456,0,207814656,1048576,86016000,41107456,0,18888704,0,3,12.5341,0,0,0,1,1,2,25.0349,100,99.9973,1024,4096,0,0,40
gemm_fast,458,8192,64,32,16,32,8,8,16,8,2,2,2,0,0,1,1,32,6,2106759,6871,2,3145776,16393,2,3145728,0,5,33.3333,5242880,1048576,0,0,0.260129,88.2967,0,268435456,0,122880000,1048576,94404608,12787712,0,15611648,0,3,16.2184,0,0,0,1,2,1,28.8005,100,99.9967,1024,6144,0,0,32
gemm_fast,940,8192,64,32,16,32,8,8,16,16,2,1,1,0,0,0,0,32,3,2107647,8039,4,18874416,32777,5,25165824,0,0,0,0,0,0,0,0.262693,93.808,0,268435456,0,294797312,3145728,201392128,68345856,0,26161920,0,2,7.86649,0,0,0,1,1,6,20.0276,100,99.8728,1024,0,0,0,32
gemm_fast,856,8192,64,32,16,32,8,8,16,16,2,1,1,0,0,0,1,32,4,2105383,8607,4,17825992,32777,4,17825792,0,1,33.3333,1048576,524288,0,0,0.263127,94.771,0,268435456,0,226656256,1048576,186712064,93511680,0,24261888,0,2,8.59743,0,0,0,1,1,4,21.1692,100,99.9979,1024,2048,0,0,36
gemm_fast,738,8192,64,32,16,32,8,8,16,16,2,1,1,0,0,1,0,32,4,2105351,8215,2,6291592,32777,3,10485760,0,3,33.3333,4194304,524288,0,0,0.266138,98.7565,0,268435456,0,268607488,1048576,127991808,55779328,0,22558720,0,3,10.1162,0,0,0,1,1,3,24.2645,100,99.9977,1024,4096,0,0,38
gemm_fast,464,8192,64,32,16,32,8,8,16,16,2,1,1,0,0,1,1,32,6,2111259,8871,2,5243608,32777,2,3145728,0,5,33.3333,5242880,1048576,0,0,0.258865,89.2957,0,268435456,0,171089920,1048576,111214592,15925248,0,17741568,0,3,16.1572,0,0,0,1,2,2,32.8232,100,99.9971,1024,6144,0,0,32
gemm_fast,665,8192,64,32,16,32,8,8,16,16,2,2,1,0,0,0,0,32,4,2105351,8227,3,10485968,16393,7,25165824,0,0,0,0,0,0,0,0.265125,95.8208,0,268435456,0,292716544,2097152,134250496,30605312,0,22786560,0,3,11.09,0,0,0,1,1,5,26.3303,100,99.8539,1024,0,0,0,32
gemm_fast,663,8192,64,32,16,32,8,8,16,16,2,2,1,0,0,0,1,32,4,2105351,8255,3,9437544,16393,5,17825792,0,1,33.3333,1048576,524288,0,0,0.265123,97.6458,0,268435456,0,208846848,1048576,119570432,55779328,0,20428032,0,3,11.1858,0,0,0,1,1,3,25.703,100,99.9975,1024,2048,0,0,39
gemm_fast,693,8192,64,32,16,32,8,8,16,16,2,2,1,0,0,1,0,32,4,2105511,8215,2,4194504,16393,3,10485760,0,3,33.3333,4194304,524288,0,0,0.266398,101.293,0,268435456,0,208846848,1048576,119570432,55779328,0,20428032,0,2,10.6747,0,0,0,1,1,3,21.9573,100,99.9975,1024,4096,0,0,40
gemm_fast,408,8192,64,32,16,32,8,8,16,16,2,2,1,0,0,1,1,32,7,2110031,7747,2,3145904,16393,2,3145728,0,6,33.3333,5242880,1048576,0,0,0.259227,91.3248,0,268435456,0,124968960,1048576,102793216,12787712,0,15939072,0,3,18.3679,0,0,0,1,2,2,32.1639,100,99.9968,1024,6144,0,0,32
gemm_fast,937,8192,64,32,16,32,8,8,32,8,2,1,1,0,0,0,0,32,3,2107619,7983,4,18874432,32777,5,25165824,0,0,0,0,0,0,0,0.262727,93.9723,0,268435456,0,294797312,3145728,201392128,68345856,0,26161920,0,2,7.8548,0,0,0,1,1,6,19.963,100,99.8728,1024,0,0,0,32
gemm_fast,875,8192,64,32,16,32,8,8,32,8,2,1,1,0,0,0,1,32,4,2105443,8303,4,18874416,32777,4,17825792,0,1,33.3333,1048576,524288,0,0,0.263767,95.2775,0,268435456,0,219316224,1048576,182517760,76742656,0,23377408,0,2,8.40212,0,0,0,1,1,4,19.4761,100,99.9978,1024,2048,0,0,37
gemm_fast,696,8192,64,32,16,32,8,8,32,8,2,1,1,0,0,1,0,32,4,2105351,9239,2,4194352,33801,3,10485760,0.0242189,3,33.3333,4194304,524288,0,1024,0.266158,98.9808,0,268435456,0,244482048,1048576,136388608,56819712,0,22099712,0,3,10.7447,0,0,0,1,1,3,25.2044,100,99.9977,1024,4096,8,0,40
gemm_fast,403,8192,64,32,16,32,8,8,32,8,2,1,1,0,0,1,1,32,7,2107595,8503,2,4194664,33801,2,3145728,0.0242189,6,33.3333,5242880,1048576,0,1024,0.259766,90.4332,0,268435456,0,142770176,1048576,115417088,16973824,0,17020672,0,4,18.6453,0,0,0,1,2,2,34.8235,100,99.997,1024,6144,8,0,32
gemm_fast,948,8192,64,32,16,32,8,8,32,8,2,1,2,0,0,0,0,32,3,2109163,8019,4,17826024,32777,5,25165824,0,0,0,0,0,0,0,0.262704,92.7527,0,268435456,0,293765120,3145728,167837696,62062592,0,24884736,0,2,7.75431,0,0,0,1,1,5,20.229,100,99.8663,1024,0,0,0,32
gemm_fast,852,8192,64,32,16,32,8,8,32,8,2,1,2,0,0,0,1,32,4,2105355,8171,4,17825840,32777,4,17825792,0,1,33.3333,1048576,524288,0,0,0.263384,95.7285,0,268435456,0,200450048,1048576,178323456,74645504,0,22591232,0,2,8.6787,0,0,0,1,1,4,19.4209,100,99.9977,1024,2048,0,0,36
