Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram__throughput.avg.pct_of_peak_sustained_elapsed,dram__sectors_read.sum,dram__sectors_write.sum,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_sectors_op_read.sum,lts__t_sectors_op_write.sum,l1tex__t_requests_pipe_lsu_mem_global_op_ld.avg.pct_of_peak_sustained_active,l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum,l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum,sm__warps_active.avg.pct_of_peak_sustained_active,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,smsp__sass_thread_inst_executed_op_fp16_pred_on.sum,smsp__sass_thread_inst_executed_op_fp32_pred_on.sum,smsp__sass_thread_inst_executed_op_fp64_pred_on.sum,smsp__sass_thread_inst_executed_op_integer_pred_on.sum,smsp__sass_thread_inst_executed_op_control_pred_on.sum,smsp__sass_thread_inst_executed_op_memory_pred_on.sum,smsp__sass_thread_inst_executed_op_misc_pred_on.sum,smsp__sass_thread_inst_executed_op_conversion_pred_on.sum,smsp__inst_executed.sum,smsp__inst_executed_pipe_fp16.sum,smsp__pipe_fma_cycles_active.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_fp64.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,smsp__inst_executed_pipe_tex.avg.pct_of_peak_sustained_active,smsp__issue_active.avg.pct_of_peak_sustained_active,smsp__thread_inst_executed_per_inst_executed.ratio,smsp__thread_inst_executed_per_inst_executed.pct,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,14975,2097152,128,16,16,32,8,16,8,8,2,1,1,0,0,0,0,32,38.2244,67659900,525111,19.9369,150539000,807395,35.3798,402653000,0.023188,0,0,0,0,99.1889,100.971,0,8589930000,0,18679300000,134218000,12889100000,295698000,0,1281100000,0,18.7624,0,0,17.6543,0,28.0576,32,100,1024,0,0,0,64
gemm_fast,15690,2097152,128,16,16,32,8,16,8,8,2,1,1,0,0,0,1,32,39.6618,67765200,525811,18.8324,137109000,779979,25.946,285213000,15.4677,134218000,33554400,0,0,99.2721,99.8664,0,8589930000,0,14248100000,134218000,13694400000,562037000,0,1163530000,0,17.0199,0,0,19.5008,0,26.5019,32,100,1024,2048,0,0,64
gemm_fast,14817,2097152,128,16,16,32,8,16,8,8,2,1,1,0,0,1,0,32,42.7293,67875300,525332,20.0766,136499000,753659,14.6596,150995000,29.4851,268435000,33554400,0,0,99.2926,99.8175,0,8589930000,0,13176400000,134218000,9399440000,689963000,0,1004140000,0,16.7199,0,0,14.2668,0,24.3753,32,100,1024,2048,0,0,62
gemm_fast,17766,2097152,128,16,16,32,8,16,8,8,2,1,1,0,0,1,1,32,35.9132,68463300,524430,16.5231,135034000,564477,2.71374,33554400,38.0939,402653000,67108900,0,0,99.1209,99.7998,0,8589930000,0,7398750000,134218000,10204700000,559940000,0,840368000,0,13.7428,0,0,12.9001,0,16.9904,32,100,1024,4096,0,0,47
gemm_fast,12331,2097152,128,16,16,32,8,16,8,8,2,2,1,0,0,0,0,32,48.6046,67672100,525083,32.5741,186732000,524902,29.813,268435000,0.029574,0,0,0,0,99.0682,101.298,0,8589930000,0,17874000000,134218000,8592030000,161481000,0,1117450000,0,23.148,0,0,14.9661,0,31.113,32,100,1024,0,0,0,64
gemm_fast,14834,2097152,128,16,16,32,8,16,8,8,2,2,1,0,0,0,1,32,42.6576,67863900,525799,19.9469,136649000,525515,14.6609,150995000,16.4751,134218000,33554400,0,0,99.3426,99.8137,0,8589930000,0,13306400000,134218000,9397340000,828375000,0,1008140000,0,17.5207,0,0,14.2628,0,24.471,32,100,1024,2048,0,0,64
gemm_fast,13854,2097152,128,16,16,32,8,16,8,8,2,2,1,0,0,1,0,32,45.6125,67736300,524896,21.1965,135650000,524799,14.8158,142606000,31.5673,268435000,33554400,0,0,99.2815,99.8694,0,8589930000,0,12905900000,134218000,9128900000,830472000,0,991887000,0,17.8913,0,0,14.8272,0,25.7646,32,100,1024,2048,0,0,63
gemm_fast,16737,2097152,128,16,16,32,8,16,8,8,2,2,1,0,0,1,1,32,38.155,68521800,524378,17.4948,134691000,524359,2.16082,25165800,40.4537,402653000,67108900,0,0,99.1156,99.8137,0,8589930000,0,7662990000,136315000,9934210000,692060000,0,844628000,0,14.5921,0,0,13.3343,0,18.1319,32,100,1024,4096,0,0,45
gemm_fast,14985,2097152,128,16,16,32,8,16,8,16,2,1,1,0,0,0,0,32,38.3361,67661800,524541,20.2284,150613000,807647,35.3499,402653000,0.0232164,0,0,0,0,99.1945,100.078,0,8589930000,0,18679300000,134218000,12889100000,295698000,0,1281100000,0,18.9531,0,0,17.8337,0,28.3427,32,100,1024,0,0,0,64
gemm_fast,15070,2097152,128,16,16,32,8,16,8,16,2,1,1,0,0,0,1,32,41.0757,67708200,524738,19.3744,135892000,756993,26.8216,285213000,16.0386,134218000,33554400,0,0,99.2691,100.023,0,8589930000,0,14650700000,134218000,13962800000,425722000,0,1192820000,0,17.4258,0,0,20.5846,0,28.1278,32,100,1024,2048,0,0,64
